,sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,sample10,sample11,sample12
gene1,76.79241382756923,19.985909526514483,86.84819524581549,136.72250812236533,216.35952586189097,323.5525457249866,4.623034640713925,12.246051685920824,208.55277739362404,25.411737660223764,39.37276801311271,73.52889166145312
gene2,175.1696567212604,30.571530017737697,104.99053578689616,50.232617426347026,6.817927024769004,73.00308712481788,31.817133798363578,39.06176347628876,95.29102047638169,120.2046580226668,78.78213351900986,95.96981722388074
gene3,85.16020829299784,64.60367018002256,40.489333303535005,140.6624032153679,15.358728989047915,84.09062556450972,128.48211297594133,146.07184225164121,30.28235959588378,58.498083702335315,224.29985934011808,35.305108193647925
gene4,109.498981368336,116.15186280108307,117.82543087394828,34.86717817383369,67.71655542211387,240.96351087836103,102.95049894418288,87.57661762531666,70.35360128287734,119.73087508835812,175.7107871005121,70.90256218038067
gene5,7.2315517524654895,14.801018723346344,24.99052099573444,120.15933259742837,17.284738621869,33.94980270962983,0.21243346678848118,57.72683382265771,63.77155139476065,48.499529003645,11.002060373856203,200.70620430815924
gene6,129.55796908519756,121.93521053977861,165.79726053632703,37.215180817034714,43.1654024033274,37.29805936981888,176.64925776232906,42.0830733700084,122.27798092493943,33.605674018592744,162.57555517144587,74.06801945260295
gene7,27.988001281656494,206.62936248774662,83.33816527031881,45.27682157901008,24.108613121504543,84.116423281666,87.31565684407991,143.03449142308355,98.60122361798696,29.956335350712788,92.60083410593026,108.27501896118198
gene8,19.72477581280528,62.32178104438294,101.76730914952743,13.414543320401634,4.095379537407175,126.65519560697895,3.2303080067946937,23.371729045042343,82.00401271282765,262.625297388545,224.43564840008804,91.34525701817499
gene9,7.063575314632341,193.89802067327616,128.80718672474296,19.962042486029947,16.380196512933722,151.00394760842994,60.61072436766489,78.25932673138425,46.80775623965707,183.67311901420138,42.74940377207178,79.5463763679527
gene10,100.86331161493804,59.15047257534371,29.38940137648335,31.277082708503784,11.28362426531585,34.162755779921774,95.23162610464415,46.745075260845134,85.99486379877273,61.66889888277775,38.13131850485344,8.742711167768624
gene11,183.0445618676373,69.6839524674985,47.50429268983729,74.16343233486126,38.061295549100244,29.74316976258546,88.46845426099405,160.28893559887987,49.92149406357986,138.49643232584984,304.7699030955905,91.81957177701467
gene12,94.291106606164,65.8771849445164,215.27635018718865,13.736930789822422,82.09272208272036,13.334265200561788,170.3617210903693,167.3968425284242,41.122018010142675,122.96339246136694,1.9957894585552427,114.46116247547793
