"site_id","canopy_pct","temperature_c"
"S01",24.9,32.7
"S02",69.6,30.8
"S03",82.4,29.31
"S04",64,30.1
"S05",36.8,32.85
"S06",14.8,35.38
"S07",68.8,27.99
"S08",73.5,31.27
"S09",24,32.92
"S10",16.7,34.33
"S11",63.8,31.52
"S12",31.2,33.95
"S13",83.2,30.68
"S14",34.7,33.79
"S15",30.1,33.79
"S16",62.3,30.54
"S17",70.9,29.23
"S18",31.3,32.4
"S19",30.5,33.44
"S20",52.5,31.73
"S21",55.3,30.46
"S22",33.5,31.41
"S23",45.3,31.75
"S24",21.7,32.93
"S25",22.6,34.24
"S26",34.6,32.09
"S27",40.1,33.11
"S28",20.5,34.68
"S29",64.7,29.92
"S30",32.5,33.4
