"record_id","site_id","date","period","temperature_c","visitors","note"
"N001","P01","2026-06-08","morning",28.8,31,"  regular "
"N002","P02","2026-06-08","morning",29.2,31,"regular"
"N003","P03","2026-06-08","morning",28,8," CHECK "
"N004","P01","2026-06-08","afternoon",,35,"  regular "
"N005","P02","2026-06-08","afternoon",32.6,27,"regular"
"N006","P03","2026-06-08","afternoon",28.8,51," CHECK "
"N007","P01","2026-06-09","morning",28.2,22,"  regular "
"N008","P02","2026-06-09","morning",28.7,41,"regular"
"N009","P03","2026-06-09","morning",27.9,32," CHECK "
"N010","P01","2026-06-09","afternoon",31.9,10,"  regular "
"N011","P02","2026-06-09","afternoon",32.7,28,"regular"
"N012","P03","2026-06-09","afternoon",29.9,26," CHECK "
"N002","P02","2026-06-08","morning",29.2,31,"regular"
