"record_id","site_id","date","period","temperature_c","visitors","note"
"O001","P01","2026-06-01","morning",28,31,"  regular "
"O002","P02","2026-06-01","morning",29.6,10,"regular"
"O003","P03","2026-06-01","morning",27,18," CHECK "
"O004","P01","2026-06-01","afternoon",30.6,45,"  regular "
"O005","P02","2026-06-01","afternoon",,9,"regular"
"O006","P03","2026-06-01","afternoon",29.8,50," CHECK "
"O007","P01","2026-06-02","morning",28.7,56,"  regular "
"O008","P02","2026-06-02","morning",28.3,50,"regular"
"O009","P03","2026-06-02","morning",26,29," CHECK "
"O010","P01","2026-06-02","afternoon",31.8,52,"  regular "
"O011","P02","2026-06-02","afternoon",33,29,"regular"
"O012","P03","2026-06-02","afternoon",28.8,27," CHECK "
"O013","P01","2026-06-03","morning",28.2,29,"  regular "
"O014","P02","2026-06-03","morning",29.7,9,"regular"
"O015","P03","2026-06-03","morning",27.3,22," CHECK "
"O016","P01","2026-06-03","afternoon",31.4,32,"  regular "
"O017","P02","2026/06/03","afternoon",32.5,25,"regular"
"O018","P03","2026-06-03","afternoon",30,43," CHECK "
"O019","P01","2026-06-04","morning",28.1,11,"  regular "
"O020","P02","2026-06-04","morning",29.4,13,"regular"
"O021","P03","2026-06-04","morning",28.7,60," CHECK "
"O022","P01","2026-06-04","afternoon",31.1,16,"  regular "
"O023","P02","2026-06-04","afternoon",32.3,9,"regular"
"O024","P03","2026-06-04","afternoon",30.6,42," CHECK "
"O025","P01","2026-06-05","morning",29.2,53,"  regular "
"O026","P02","2026-06-05","morning",28.8,48,"regular"
"O027","P03","2026-06-05","morning",27.5,11," CHECK "
"O028","P01","2026-06-05","afternoon",,19,"  regular "
"O029","P02","2026-06-05","afternoon",31.7,36,"regular"
"O030","P03","2026-06-05","afternoon",30.7,57," CHECK "
"O031","P01","2026-06-06","morning",28.3,38,"  regular "
"O032","P02","2026-06-06","morning",28.7,37,"regular"
"O033","P03","2026-06-06","morning",27.1,57," CHECK "
"O034","P01","2026-06-06","afternoon",32.5,13,"  regular "
"O035","P02","2026-06-06","afternoon",32.5,24,"regular"
"O036","P03","2026-06-06","afternoon",31,25," CHECK "
"O037","P01","2026-06-07","morning",30,50,"  regular "
"O038","P02","2026-06-07","morning",28.7,39,"regular"
"O039","P03","2026-06-07","morning",26.8,58," CHECK "
"O040","P01","2026-06-07","afternoon",32,55,"  regular "
"O041","P02","2026-06-07","afternoon",32.2,21,"regular"
"O042","P03","2026-06-07","afternoon",31,19," CHECK "
"O007","P01","2026-06-02","morning",28.7,56,"  regular "
