"unit_id","material","start_c","drop_c","end_c"
"U01","A",34.04,2.45,31.59
"U02","B",35.57,3.18,32.39
"U03","A",34.05,3.1,30.95
"U04","A",34.8,2.38,32.42
"U05","A",34.4,2.16,32.24
"U06","A",34.2,2.28,31.92
"U07","B",36.29,3.54,32.75
"U08","A",34.79,3,31.79
"U09","B",35.35,3.37,31.98
"U10","B",38.28,3.87,34.41
"U11","A",35.72,2.63,33.09
"U12","B",35.77,3.69,32.08
"U13","A",32.08,3.38,28.7
"U14","B",37.11,2.35,34.76
"U15","A",35.5,2.53,32.97
"U16","B",35.61,1.63,33.98
"U17","A",35.07,2.44,32.63
"U18","B",33.21,3.3,29.91
"U19","A",34.41,1.75,32.66
"U20","B",34.72,3.42,31.3
"U21","A",34.97,2.19,32.78
"U22","A",36.85,1.97,34.88
"U23","A",33.37,1.99,31.38
"U24","B",31.3,2.33,28.97
"U25","A",35.17,3.5,31.67
"U26","A",36.11,0.58,35.53
"U27","B",36.03,3.61,32.42
"U28","B",35.33,4.11,31.22
"U29","A",33,1.31,31.69
"U30","A",34,0.82,33.18
"U31","A",35.27,1.79,33.48
"U32","B",36.01,1.82,34.19
"U33","B",35.89,2.5,33.39
"U34","A",35.88,1.58,34.3
"U35","A",36.61,3.11,33.5
"U36","B",35.54,3.77,31.77
"U37","B",35.01,2.19,32.82
"U38","A",36.23,3.36,32.87
"U39","B",35.63,4.73,30.9
"U40","B",34.89,2.11,32.78
"U41","B",36.4,3.69,32.71
"U42","B",34.33,3.06,31.27
"U43","A",34.87,-0.06,34.93
"U44","B",33.65,3.27,30.38
"U45","B",37.12,2.49,34.63
"U46","A",35.5,2.9,32.6
"U47","B",34.97,3.55,31.42
"U48","B",34.25,2.64,31.61
