sample_id	timepoint	replicate	gsm	srr	read1	read2	time_hour	cycle_use
ZT0_rep_1	ZT0	1	GSM7776093	SRR26039829	ZT0_rep_1_1.fastq.gz	ZT0_rep_1_2.fastq.gz	0	TRUE
ZT0_rep_2	ZT0	2	GSM7776094	SRR26039828	ZT0_rep_2_1.fastq.gz	ZT0_rep_2_2.fastq.gz	0	TRUE
ZT0_rep_3	ZT0	3	GSM7776095	SRR26039827	ZT0_rep_3_1.fastq.gz	ZT0_rep_3_2.fastq.gz	0	TRUE
ZT1_rep_1	ZT1	1	GSM7776102	SRR26039820	ZT1_rep_1_1.fastq.gz	ZT1_rep_1_2.fastq.gz	1	FALSE
ZT1_rep_2	ZT1	2	GSM7776103	SRR26039819	ZT1_rep_2_1.fastq.gz	ZT1_rep_2_2.fastq.gz	1	FALSE
ZT1_rep_3	ZT1	3	GSM7776104	SRR26039818	ZT1_rep_3_1.fastq.gz	ZT1_rep_3_2.fastq.gz	1	FALSE
ZT4_rep_1	ZT4	1	GSM7776108	SRR26039814	ZT4_rep_1_1.fastq.gz	ZT4_rep_1_2.fastq.gz	4	TRUE
ZT4_rep_2	ZT4	2	GSM7776109	SRR26039813	ZT4_rep_2_1.fastq.gz	ZT4_rep_2_2.fastq.gz	4	TRUE
ZT4_rep_3	ZT4	3	GSM7776110	SRR26039812	ZT4_rep_3_1.fastq.gz	ZT4_rep_3_2.fastq.gz	4	TRUE
ZT8_rep_1	ZT8	1	GSM7776111	SRR26039811	ZT8_rep_1_1.fastq.gz	ZT8_rep_1_2.fastq.gz	8	TRUE
ZT8_rep_2	ZT8	2	GSM7776112	SRR26039810	ZT8_rep_2_1.fastq.gz	ZT8_rep_2_2.fastq.gz	8	TRUE
ZT8_rep_3	ZT8	3	GSM7776113	SRR26039809	ZT8_rep_3_1.fastq.gz	ZT8_rep_3_2.fastq.gz	8	TRUE
ZT12_rep_1	ZT12	1	GSM7776096	SRR26039826	ZT12_rep_1_1.fastq.gz	ZT12_rep_1_2.fastq.gz	12	TRUE
ZT12_rep_2	ZT12	2	GSM7776097	SRR26039825	ZT12_rep_2_1.fastq.gz	ZT12_rep_2_2.fastq.gz	12	TRUE
ZT12_rep_3	ZT12	3	GSM7776098	SRR26039824	ZT12_rep_3_1.fastq.gz	ZT12_rep_3_2.fastq.gz	12	TRUE
ZT16_rep_1	ZT16	1	GSM7776099	SRR26039823	ZT16_rep_1_1.fastq.gz	ZT16_rep_1_2.fastq.gz	16	TRUE
ZT16_rep_2	ZT16	2	GSM7776100	SRR26039822	ZT16_rep_2_1.fastq.gz	ZT16_rep_2_2.fastq.gz	16	TRUE
ZT16_rep_3	ZT16	3	GSM7776101	SRR26039821	ZT16_rep_3_1.fastq.gz	ZT16_rep_3_2.fastq.gz	16	TRUE
ZT20_rep_1	ZT20	1	GSM7776105	SRR26039817	ZT20_rep_1_1.fastq.gz	ZT20_rep_1_2.fastq.gz	20	TRUE
ZT20_rep_2	ZT20	2	GSM7776106	SRR26039816	ZT20_rep_2_1.fastq.gz	ZT20_rep_2_2.fastq.gz	20	TRUE
ZT20_rep_3	ZT20	3	GSM7776107	SRR26039815	ZT20_rep_3_1.fastq.gz	ZT20_rep_3_2.fastq.gz	20	TRUE
