run_accession	sample_accession	secondary_sample_accession	sample_alias	sample_title	library_layout	fastq_ftp	fastq_md5	fastq_bytes	day	hour	replicate	sample_id
SRR26039829	SAMN37359309	SRS18863592	GSM7776093	Leaves, 2d post transition, ZT0, rep 1	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/029/SRR26039829/SRR26039829_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/029/SRR26039829/SRR26039829_2.fastq.gz	151ef85bf27a7e7f6ecd8d66ca07264d;7d1f878bf337819ac03f5a82171b2277	2753905806;2755370606	2	0	1	ZT0_rep_1
SRR26039828	SAMN37359308	SRS18863593	GSM7776094	Leaves, 2d post transition, ZT0, rep 2	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/028/SRR26039828/SRR26039828_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/028/SRR26039828/SRR26039828_2.fastq.gz	2429fa0a754a4b5545a93fde6763f756;1e7901ba6eb2a9117b6be7dbc7150373	2572787889;2693128058	2	0	2	ZT0_rep_2
SRR26039827	SAMN37359307	SRS18863594	GSM7776095	Leaves, 2d post transition, ZT0, rep 3	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/027/SRR26039827/SRR26039827_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/027/SRR26039827/SRR26039827_2.fastq.gz	a4aa56b3be752083db2bfa2ab66caa88;9f6cca6e14374dfa84c73277f00b365c	2637755338;2639393126	2	0	3	ZT0_rep_3
SRR26039820	SAMN37359300	SRS18863601	GSM7776102	Leaves, 2d post transition, ZT1, rep 1	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/020/SRR26039820/SRR26039820_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/020/SRR26039820/SRR26039820_2.fastq.gz	bd0b287f5001f9d733df72da0077835f;c07bbf9d67af0117b82201051281c2a8	2670889236;2786877269	2	1	1	ZT1_rep_1
SRR26039819	SAMN37359299	SRS18863602	GSM7776103	Leaves, 2d post transition, ZT1, rep 2	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/019/SRR26039819/SRR26039819_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/019/SRR26039819/SRR26039819_2.fastq.gz	c97f5217423d66ae563fb1e721748b74;399a50941d084bca29c39ccb3ea64ff0	2757987329;2850052064	2	1	2	ZT1_rep_2
SRR26039818	SAMN37359298	SRS18863603	GSM7776104	Leaves, 2d post transition, ZT1, rep 3	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/018/SRR26039818/SRR26039818_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/018/SRR26039818/SRR26039818_2.fastq.gz	6da2f4deb9b054cb8c74486034efb44f;c5c4b312fc1926f7e04846e9867f9ae9	1922708243;1997441845	2	1	3	ZT1_rep_3
SRR26039814	SAMN37359294	SRS18863607	GSM7776108	Leaves, 2d post transition, ZT4, rep 1	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/014/SRR26039814/SRR26039814_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/014/SRR26039814/SRR26039814_2.fastq.gz	d9cc8a52ae47c8a8440e3c53d40fd004;c869c5d28d657f8c43c1a6785d50099a	2799142499;2933322615	2	4	1	ZT4_rep_1
SRR26039813	SAMN37359293	SRS18863608	GSM7776109	Leaves, 2d post transition, ZT4, rep 2	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/013/SRR26039813/SRR26039813_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/013/SRR26039813/SRR26039813_2.fastq.gz	6e482a2a11d1393cc9b72959de19cd1e;da5dac6f1c4f2bfdb1101068452563ef	3059456291;3176146461	2	4	2	ZT4_rep_2
SRR26039812	SAMN37359292	SRS18863609	GSM7776110	Leaves, 2d post transition, ZT4, rep 3	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/012/SRR26039812/SRR26039812_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/012/SRR26039812/SRR26039812_2.fastq.gz	c4d98cf49faf24e69f2dc20d39e5c6ba;fa498cf8bc275e98e3b314139d3bb52f	2142947857;2144623367	2	4	3	ZT4_rep_3
SRR26039811	SAMN37359291	SRS18863610	GSM7776111	Leaves, 2d post transition, ZT8, rep 1	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/011/SRR26039811/SRR26039811_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/011/SRR26039811/SRR26039811_2.fastq.gz	ef33f2844f31cf7ea44873a26b7f317b;d1eca716052bfad8f030678dc29ba5e4	2756623163;2869114156	2	8	1	ZT8_rep_1
