sample_id	reads_before	reads_after	retention	bases_before	bases_after	base_retention	adapter_trimmed_reads	adapter_trimmed_bases	q30_before	q30_after	constant_q30_input
ZT0_rep_1	102014612	102014612	1	15302191800	14187213092	0.927136012763871	37912354	1114978708	1	1	TRUE
ZT0_rep_2	75100538	74721702	0.994955615364566	11265080700	10475475360	0.929906819043027	26151864	733275444	0.927092	0.932321	FALSE
ZT0_rep_3	98597382	98597382	1	14789607300	13468057780	0.910643366440162	40237388	1321549520	1	1	TRUE
ZT1_rep_1	78728402	78414962	0.996018717616039	11809260300	10903849718	0.923330457708685	28374114	858927678	0.929831	0.934682	FALSE
ZT1_rep_2	80713184	80268090	0.994485485791268	12106977600	11158784744	0.921682116930653	29486244	881997562	0.929184	0.935169	FALSE
ZT1_rep_3	56523292	56275456	0.995615329694527	8478493800	7825110664	0.922936414012593	20321674	616600136	0.928797	0.934494	FALSE
ZT4_rep_1	82414312	82050842	0.995589722328811	12362146800	11594575812	0.937909571822913	26691900	713528538	0.92918	0.933658	FALSE
ZT4_rep_2	89421474	88982040	0.995085811267213	13413221100	12546691884	0.935397380723114	29565820	801163560	0.928497	0.932673	FALSE
ZT4_rep_3	79780686	79780686	1	11967102900	11185750626	0.934708318251362	27953240	781352274	1	1	TRUE
ZT8_rep_1	80499868	80104976	0.995094501272971	12074980200	11260709534	0.932565465738817	27355030	755607162	0.92757	0.932307	FALSE
ZT8_rep_2	82404818	82027052	0.995415729211367	12360722700	11672412164	0.944314701275517	24826836	632121162	0.929136	0.932905	FALSE
ZT8_rep_3	110010482	109474462	0.995127555208785	16501572300	15591030928	0.944820932487748	32282714	830766580	0.92992	0.93387	FALSE
ZT12_rep_1	218677724	217658230	0.99533791562601	32801658600	31047876394	0.946533733937466	63854926	1602051548	0.927409	0.931462	FALSE
ZT12_rep_2	77641308	77641308	1	11646196200	10986488472	0.943354232002377	24349916	659707728	1	1	TRUE
ZT12_rep_3	115991040	115424054	0.995111812084795	17398656000	16309206488	0.937383122466471	37575786	1005167430	0.929541	0.933421	FALSE
ZT16_rep_1	112557880	112557880	1	16883682000	16183441774	0.958525621010867	28278638	700240226	1	1	TRUE
ZT16_rep_2	82963972	82633772	0.996019959121533	12444595800	11395364396	0.915687787625854	32797208	1000377508	0.932266	0.938163	FALSE
ZT16_rep_3	123276912	122729256	0.99555751364051	18491536800	16976888934	0.918089670837959	48977392	1433479784	0.92774	0.934177	FALSE
ZT20_rep_1	108402308	107963394	0.99595106406775	16260346200	15134252852	0.930746041065227	38323908	1060999140	0.933631	0.93775	FALSE
ZT20_rep_2	71362234	71362234	1	10704335100	10289231726	0.961221003441867	16868376	415103374	1	1	TRUE
ZT20_rep_3	81519702	81176860	0.995794366372929	12227955300	11285944708	0.922962542069482	29325546	891125768	0.93049	0.936124	FALSE
