sample_id	num_processed	num_mapped	percent_mapped	library_types
ZT0_rep_1	51007306	38748504	75.966576239098	ISR
ZT0_rep_2	37360851	28305869	75.7634482148172	ISR
ZT0_rep_3	49298691	37041349	75.1365771557707	ISR
ZT1_rep_1	39207481	29616927	75.5389692084528	ISR
ZT1_rep_2	40134045	30241761	75.3518889013056	ISR
ZT1_rep_3	28137728	21337003	75.8305823412608	ISR
ZT4_rep_1	41025421	30545481	74.4550092490215	ISR
ZT4_rep_2	44491020	33696869	75.7385849998494	ISR
ZT4_rep_3	39890343	30070865	75.3838215931109	ISR
ZT8_rep_1	40052488	30223107	75.4587505275577	ISR
ZT8_rep_2	41013526	31026670	75.6498478087449	ISR
ZT8_rep_3	54737231	41055239	75.0042306670573	ISR
ZT12_rep_1	108829115	84491196	77.6365736319734	ISR
ZT12_rep_2	38820654	29942665	77.1307587965932	ISR
ZT12_rep_3	57712027	44645256	77.3586691037554	ISR
ZT16_rep_1	56278940	44102901	78.364839494134	ISR
ZT16_rep_2	41316886	32151600	77.8170939600821	ISR
ZT16_rep_3	61364628	47725087	77.7729590408338	ISR
ZT20_rep_1	53981697	42382890	78.5134450293402	ISR
ZT20_rep_2	35681117	28066654	78.6596843366759	ISR
ZT20_rep_3	40588430	31749390	78.2227595400955	ISR
