gene_id	contrast_id	sampleA	sampleB	baseMeanA	baseMeanB	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	direction
AT1G61800	ZT4_vs_ZT0	ZT4	ZT0	808.119595368458	0.28879261895927	404.204193993709	11.2511791942563	1.21781021203989	9.23886093499743	2.49135181568e-20	4.1013544406517e-19	up
AT1G57590	ZT4_vs_ZT0	ZT4	ZT0	233.576591389554	0	116.788295694777	10.4243678062892	1.2033218690527	8.6629920675302	4.59540390707062e-18	6.64987087119576e-17	up
AT2G46790	ZT4_vs_ZT0	ZT4	ZT0	1751.5639036244	1.75128461568079	876.65759412004	9.89793175921865	0.598402975283204	16.5405791215097	1.87213875805271e-61	1.45494641552218e-59	up
AT5G03210	ZT4_vs_ZT0	ZT4	ZT0	119.844845706888	0	59.9224228534438	9.45901858651692	1.24106702526243	7.62168230560857	2.50390683300996e-14	2.83331955753012e-13	up
AT1G09350	ZT4_vs_ZT0	ZT4	ZT0	106.75642566288	0	53.3782128314398	9.29413943931419	1.20993562307085	7.68151566256511	1.5721725335634e-14	1.80434493919458e-13	up
AT1G25145	ZT4_vs_ZT0	ZT4	ZT0	93.6566887454758	0	46.8283443727379	9.10372755381295	3.9077811450934	2.32964109703113	0.0198251281397281	0.0435845364473345	up
AT4G33467	ZT4_vs_ZT0	ZT4	ZT0	84.1801294003728	0	42.0900647001864	8.94880014820231	1.21728087126838	7.35146699453007	1.96043178583498e-13	2.06425107573133e-12	up
AT4G29610	ZT4_vs_ZT0	ZT4	ZT0	125.077381597987	0.367028845823484	62.7222052219052	8.55840517304243	1.20260701231945	7.11654354695304	1.10667222055262e-12	1.0812477151666e-11	up
AT2G20880	ZT4_vs_ZT0	ZT4	ZT0	99.4688998905978	0.27685115397146	49.8728755222846	8.22906681088924	1.20760295855641	6.81438112798794	9.46704165636488e-12	8.46622678062813e-11	up
AT1G03495	ZT4_vs_ZT0	ZT4	ZT0	47.4493522680953	0	23.7246761340477	8.12539861770404	1.24915863897439	6.50469713308419	7.7850065566077e-11	6.43218836382428e-10	up
AT5G13170	ZT4_vs_ZT0	ZT4	ZT0	39.7861263706126	0	19.8930631853063	7.86837839080836	1.24618322093618	6.31398197200674	2.71945632027382e-10	2.14061060480165e-09	up
AT2G15318	ZT4_vs_ZT0	ZT4	ZT0	39.5072713225721	0	19.753635661286	7.85986602644106	1.27125912028322	6.18274111157606	6.29979839411335e-10	4.78184994615148e-09	up
AT2G29170	ZT4_vs_ZT0	ZT4	ZT0	199.077440935316	0.830553461914381	99.9539971986153	7.76395978698971	0.857051562734241	9.05891795147126	1.31750995054028e-19	2.08378898169129e-18	up
AT2G46670	ZT4_vs_ZT0	ZT4	ZT0	1106.33930928577	5.38547932043023	555.862394303101	7.72953088529017	0.367483442773727	21.0336847476678	3.22595121190162e-98	6.49859382292287e-96	up
AT4G31073	ZT4_vs_ZT0	ZT4	ZT0	0	35.0274169076523	17.5137084538261	-7.46722292932369	3.90912861315136	-1.91020139480751	0.0561072876517451	0.105570757696749	ns
AT5G37260	ZT4_vs_ZT0	ZT4	ZT0	12.638402004845	2073.59833878335	1043.1183703941	-7.36919125607816	0.28357095747844	-25.9871156115782	6.92558428446331e-149	2.94529709430926e-146	down
AT4G11320	ZT4_vs_ZT0	ZT4	ZT0	52.8262232236461	0.28879261895927	26.5575079213027	7.3136514352736	1.24654267139155	5.8671488775504	4.43352564087635e-09	3.05203586159249e-08	up
AT1G22770	ZT4_vs_ZT0	ZT4	ZT0	357.86489783071	2.43098901043916	180.147943420575	7.19259759822001	0.537292801622369	13.3867373180913	7.22870972825267e-41	2.95913224437295e-39	up
AT5G02810	ZT4_vs_ZT0	ZT4	ZT0	3102.99480202078	21.5360245366265	1562.2654132787	7.17671416846085	0.210176996381642	34.146049720062	1.53043020703193e-255	2.60343182996209e-252	up
AT1G53903	ZT4_vs_ZT0	ZT4	ZT0	24.2193276377185	0	12.1096638188592	7.15506891836401	1.44063883421794	4.96659450544952	6.81388549653958e-07	3.5935441595598e-06	up
AT2G39920	ZT4_vs_ZT0	ZT4	ZT0	736.282006444428	6.42000173750232	371.351004090965	6.83985436323473	0.342812618428555	19.9521662726082	1.43532772831848e-88	2.33775186388892e-86	up
AT1G56650	ZT4_vs_ZT0	ZT4	ZT0	267.296039589216	2.62328585913102	134.959662724173	6.75729824863929	0.581522366963587	11.6200143494436	3.2608148407829e-31	9.17703588462981e-30	up
AT3G55240	ZT4_vs_ZT0	ZT4	ZT0	366.14308770593	3.40580410257219	184.774445904251	6.7061549083321	0.92760807085604	7.22951332467746	4.84727949990082e-13	4.9375814466721e-12	up
AT4G15210	ZT4_vs_ZT0	ZT4	ZT0	187.988726901655	1.87728670249624	94.9330068020755	6.67140639188843	0.715160477744917	9.32854457075855	1.07334616090322e-20	1.8078030498821e-19	up
AT5G43440	ZT4_vs_ZT0	ZT4	ZT0	455.714492144805	4.68724602374669	230.200869084276	6.62916979901143	0.430248139969898	15.4077825867539	1.4510607936269e-53	8.74635462615268e-52	up
AT1G25422	ZT4_vs_ZT0	ZT4	ZT0	113.08309585189	1.13128754586146	57.1071916988759	6.53686553848139	0.782274302116144	8.35623197745139	6.4753315318065e-17	8.74226858482871e-16	up
AT4G28085	ZT4_vs_ZT0	ZT4	ZT0	1.86620512902809	165.147845513964	83.5070253214958	-6.5214839963352	0.689515843725527	-9.45806257489159	3.13701537307001e-21	5.43299834408392e-20	down
AT5G42800	ZT4_vs_ZT0	ZT4	ZT0	196.323696074898	2.40078800204815	99.3622420384729	6.49383273393529	0.633111155731328	10.2570183373788	1.10052454210643e-24	2.34666166290382e-23	up
AT2G42530	ZT4_vs_ZT0	ZT4	ZT0	885.49161745715	10.7226540638653	448.107135760508	6.33282223151338	0.281931817368725	22.4622473994519	9.71481180041292e-112	2.70425033935131e-109	up
AT5G59570	ZT4_vs_ZT0	ZT4	ZT0	0.704715751763458	56.6039677665259	28.6543417591447	-6.30368665072436	1.07616175106111	-5.85756429691804	4.69704990413501e-09	3.22185636345461e-08	down
