ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0016144	S-glycoside biosynthetic process	26/809	41/11616	0.634146341463415	9.10536947149447	14.2244517664981	1.30364145821432e-20	9.38621849914308e-18	7.95221289510733e-18	AT3G58990/AT4G12030/AT5G23010/AT1G62560/AT2G14750/AT5G60890/AT2G25450/AT5G14200/AT1G74090/AT5G07690/AT4G39940/AT2G20610/AT1G16410/AT1G18590/AT4G13770/AT1G65860/AT5G61420/AT1G16400/AT2G43100/AT3G19710/AT1G62540/AT5G07700/AT4G31500/AT1G62570/AT1G24100/AT5G23020	26
GO:0019761	glucosinolate biosynthetic process	26/809	41/11616	0.634146341463415	9.10536947149447	14.2244517664981	1.30364145821432e-20	9.38621849914308e-18	7.95221289510733e-18	AT3G58990/AT4G12030/AT5G23010/AT1G62560/AT2G14750/AT5G60890/AT2G25450/AT5G14200/AT1G74090/AT5G07690/AT4G39940/AT2G20610/AT1G16410/AT1G18590/AT4G13770/AT1G65860/AT5G61420/AT1G16400/AT2G43100/AT3G19710/AT1G62540/AT5G07700/AT4G31500/AT1G62570/AT1G24100/AT5G23020	26
GO:1901659	glycosyl compound biosynthetic process	27/809	49/11616	0.551020408163265	7.91180848111803	13.2651040277762	4.30798822555392e-19	2.06783434826588e-16	1.75191521172526e-16	AT3G58990/AT4G12030/AT5G23010/AT1G62560/AT2G14750/AT5G60890/AT2G25450/AT5G14200/AT1G74090/AT5G07690/AT4G39940/AT2G20610/AT1G16410/AT1G18590/AT4G13770/AT1G65860/AT5G61420/AT1G16400/AT2G43100/AT3G19710/AT1G62540/AT2G32150/AT5G07700/AT4G31500/AT1G62570/AT1G24100/AT5G23020	27
GO:0019760	glucosinolate metabolic process	32/809	77/11616	0.415584415584416	5.96715521808229	11.9646582839007	1.1759955219732e-17	4.23358387910352e-15	3.58678634201826e-15	AT1G52400/AT3G58990/AT4G12030/AT5G23010/AT1G62560/AT2G14750/AT5G60890/AT2G44490/AT2G25450/AT5G14200/AT1G74090/AT5G07690/AT4G39940/AT2G20610/AT1G16410/AT1G54040/AT1G18590/AT4G13770/AT1G65860/AT5G61420/AT1G16400/AT2G22840/AT2G43100/AT3G19710/AT1G62540/AT5G07700/AT4G31500/AT5G25980/AT1G62570/AT4G37400/AT1G24100/AT5G23020	32
GO:0009414	response to water deprivation	70/809	334/11616	0.209580838323353	3.00925960193334	10.1940680947626	2.58937608164258e-17	7.45740311513064e-15	6.3180776392079e-15	AT2G42540/AT3G46970/AT2G39800/AT1G52400/AT3G29320/AT5G52310/AT2G15970/AT2G16600/AT4G39730/AT3G05640/AT1G20450/AT4G30960/AT1G54100/AT5G66400/AT3G12490/AT1G76180/AT1G02820/AT5G23010/AT2G22430/AT1G02205/AT5G66880/AT1G29395/AT2G41870/AT1G67360/AT3G27690/AT5G07690/AT2G38750/AT1G02930/AT5G24030/AT2G37760/AT2G46680/AT2G17840/AT4G39950/AT5G15970/AT5G40390/AT2G37180/AT5G27930/AT4G35300/AT3G25760/AT2G37770/AT5G57050/AT4G36020/AT2G05070/AT1G51140/AT1G35720/AT5G13750/AT3G50500/AT1G10370/AT3G11410/AT2G40130/AT5G50430/AT5G47100/AT1G64660/AT2G32150/AT1G49230/AT2G20880/AT5G07700/AT5G59320/AT2G31870/AT2G38760/AT5G65020/AT2G26740/AT5G15960/AT2G47780/AT5G58670/AT4G02280/AT1G46768/AT4G15910/AT3G08770/AT5G50720	70
GO:0009415	response to water	70/809	341/11616	0.205278592375367	2.94748594441565	9.98675827924619	8.25665611579565e-17	1.98159746779096e-14	1.67885341021178e-14	AT2G42540/AT3G46970/AT2G39800/AT1G52400/AT3G29320/AT5G52310/AT2G15970/AT2G16600/AT4G39730/AT3G05640/AT1G20450/AT4G30960/AT1G54100/AT5G66400/AT3G12490/AT1G76180/AT1G02820/AT5G23010/AT2G22430/AT1G02205/AT5G66880/AT1G29395/AT2G41870/AT1G67360/AT3G27690/AT5G07690/AT2G38750/AT1G02930/AT5G24030/AT2G37760/AT2G46680/AT2G17840/AT4G39950/AT5G15970/AT5G40390/AT2G37180/AT5G27930/AT4G35300/AT3G25760/AT2G37770/AT5G57050/AT4G36020/AT2G05070/AT1G51140/AT1G35720/AT5G13750/AT3G50500/AT1G10370/AT3G11410/AT2G40130/AT5G50430/AT5G47100/AT1G64660/AT2G32150/AT1G49230/AT2G20880/AT5G07700/AT5G59320/AT2G31870/AT2G38760/AT5G65020/AT2G26740/AT5G15960/AT2G47780/AT5G58670/AT4G02280/AT1G46768/AT4G15910/AT3G08770/AT5G50720	70
GO:0001101	response to acid chemical	71/809	359/11616	0.197771587743733	2.83969686431545	9.68753872354383	3.91242991816835e-16	8.04842726023203e-14	6.81880642880769e-14	AT2G42540/AT3G46970/AT2G39800/AT1G52400/AT3G29320/AT5G52310/AT2G15970/AT2G16600/AT4G39730/AT3G05640/AT1G20450/AT4G30960/AT1G54100/AT5G66400/AT3G12490/AT1G76180/AT1G02820/AT5G23010/AT2G22430/AT1G02205/AT5G66880/AT1G29395/AT2G41870/AT1G67360/AT3G27690/AT5G07690/AT2G38750/AT1G02930/AT5G24030/AT2G37760/AT2G46680/AT2G17840/AT4G39950/AT5G15970/AT5G40390/AT2G37180/AT5G27930/AT4G35300/AT3G25760/AT2G37770/AT5G57050/AT4G36020/AT2G05070/AT1G51140/AT1G35720/AT5G13750/AT3G50500/AT1G10370/AT3G11410/AT2G40130/AT2G32390/AT5G50430/AT5G47100/AT1G64660/AT2G32150/AT1G49230/AT2G20880/AT5G07700/AT5G59320/AT2G31870/AT2G38760/AT5G65020/AT2G26740/AT5G15960/AT2G47780/AT5G58670/AT4G02280/AT1G46768/AT4G15910/AT3G08770/AT5G50720	71
GO:1901657	glycosyl compound metabolic process	34/809	100/11616	0.34	4.88187886279357	10.6665124052939	1.62167029821593e-15	2.91900653678868e-13	2.4730472047793e-13	AT1G52400/AT3G58990/AT4G12030/AT5G23010/AT1G62560/AT2G14750/AT5G60890/AT2G44490/AT2G25450/AT5G14200/AT1G74090/AT5G07690/AT4G39940/AT2G20610/AT1G16410/AT1G54040/AT1G18590/AT4G13770/AT1G65860/AT5G61420/AT1G16400/AT2G22840/AT2G43100/AT3G19710/AT1G62540/AT2G32150/AT3G46940/AT5G07700/AT4G31500/AT5G25980/AT1G62570/AT4G37400/AT1G24100/AT5G23020	34
GO:0009409	response to cold	58/809	335/11616	0.173134328358209	2.48594358245854	7.55061309138325	6.85004227747626e-11	1.0960067643962e-08	9.28561286502338e-09	AT2G42540/AT2G43010/AT3G25770/AT5G50950/AT2G42530/AT4G27310/AT5G52310/AT2G15970/AT4G39730/AT1G20450/AT3G02870/AT3G54890/AT5G38480/AT4G26080/AT3G22370/AT5G66400/AT3G12490/AT1G76180/AT1G20620/AT4G39260/AT3G47470/AT3G16690/AT2G42200/AT1G22770/AT1G29395/AT1G10760/AT3G27690/AT2G38750/AT2G45660/AT1G61520/AT2G37760/AT4G04020/AT5G63320/AT2G17840/AT5G15970/AT4G35300/AT2G37770/AT5G11790/AT3G17020/AT4G36020/AT2G05070/AT1G35720/AT5G01600/AT3G11410/AT2G22840/AT1G09350/AT3G22840/AT1G49230/AT5G47230/AT5G54470/AT1G17190/AT2G38760/AT5G65020/AT5G15960/AT5G58670/AT1G46768/AT4G15910/AT5G50720	58
GO:0006790	sulfur compound metabolic process	50/809	268/11616	0.186567164179104	2.67881851558032	7.60751427514575	9.77357405124363e-11	1.40739466337908e-08	1.19237603425172e-08	AT1G52400/AT3G03780/AT5G28030/AT1G19570/AT3G58990/AT4G12030/AT2G30860/AT3G22200/AT1G19550/AT5G23010/AT1G62560/AT2G14750/AT5G60890/AT2G44490/AT2G25450/AT5G14200/AT1G74090/AT5G07690/AT4G39940/AT1G53580/AT2G20610/AT1G02930/AT1G16410/AT4G39950/AT1G54040/AT1G18590/AT4G13770/AT1G65860/AT1G78370/AT5G61420/AT1G10370/AT3G23810/AT1G16400/AT2G22840/AT2G43100/AT3G19710/AT1G64660/AT1G62540/AT3G03190/AT5G07700/AT4G31500/AT5G41580/AT1G17190/AT5G25980/AT1G62570/AT5G17220/AT1G59670/AT4G37400/AT1G24100/AT5G23020	50
