gene_id	contrast_id	sampleA	sampleB	baseMeanA	baseMeanB	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	direction
AT1G01060	ZT4_vs_ZT0	ZT4	ZT0	1264.11186159769	25216.3671677676	13240.2395146826	-4.3183540105889	0.0787717923096982	-54.8210708931302	0	0	down
AT2G42540	ZT4_vs_ZT0	ZT4	ZT0	17731.854642913	713.427658957043	9222.64115093503	4.63665612327236	0.114831368176547	40.3779576687072	0	0	up
AT5G18670	ZT4_vs_ZT0	ZT4	ZT0	151.201822020016	11230.678125253	5690.93997363653	-6.21337518561902	0.162940724603926	-38.1327332422414	3.67603615000429e-318	1.87600378205021e-314	down
AT1G13930	ZT4_vs_ZT0	ZT4	ZT0	22024.1821035397	1541.95864328529	11783.0703734125	3.83646187714186	0.101168880286615	37.921363429871	1.14432716343496e-314	4.37991221804733e-311	up
AT5G66052	ZT4_vs_ZT0	ZT4	ZT0	343.343474424458	6442.1887713006	3392.76612286253	-4.23050002368679	0.113054283041064	-37.420077416706	1.84269633106217e-306	5.64233616571238e-303	down
AT4G23600	ZT4_vs_ZT0	ZT4	ZT0	3596.5892204559	196.594230195944	1896.59172532592	4.19888654797059	0.115773368995143	36.268155487008	5.14211935422763e-288	1.31209745522042e-284	up
AT2G40840	ZT4_vs_ZT0	ZT4	ZT0	5088.89267468439	500.623100486499	2794.75788758544	3.3448552954127	0.0939659429365933	35.5964638983057	1.58903104258275e-277	3.47543789456313e-274	up
AT3G44990	ZT4_vs_ZT0	ZT4	ZT0	3645.11436719384	120.887268387684	1883.00081779076	4.92533049781132	0.143268900133528	34.3782250943566	5.33505770680565e-259	1.02099666863993e-255	up
AT5G02810	ZT4_vs_ZT0	ZT4	ZT0	3102.99480202078	21.5360245366265	1562.2654132787	7.17671416846085	0.210176996381642	34.146049720062	1.53043020703193e-255	2.60343182996209e-252	up
AT4G30660	ZT4_vs_ZT0	ZT4	ZT0	8531.30671770445	240.718565103705	4386.01264140408	5.14486463763148	0.155182117254105	33.1537211159901	5.00552078998195e-241	7.66345232946237e-238	up
AT2G43010	ZT4_vs_ZT0	ZT4	ZT0	3789.80675085578	116.97803724597	1953.39239405088	5.01657270206006	0.151992887486403	33.0053121894197	6.81512977560466e-239	9.48542153313704e-236	up
AT1G78680	ZT4_vs_ZT0	ZT4	ZT0	5307.17476426904	737.678035361553	3022.4263998153	2.84706179282024	0.0863730994248726	32.9623668917499	2.81330640948248e-238	3.58931009409807e-235	up
AT1G28610	ZT4_vs_ZT0	ZT4	ZT0	1910.13674565949	51.2009235945354	980.66883462701	5.22235879791822	0.160571381005914	32.523596454127	4.94747847379919e-232	5.82660734106659e-229	up
AT4G17340	ZT4_vs_ZT0	ZT4	ZT0	7326.6449301607	293.573341694859	3810.10913592778	4.64725429139822	0.143553038309851	32.373082075542	6.56845934003054e-230	7.18307946399054e-227	up
AT3G05030	ZT4_vs_ZT0	ZT4	ZT0	2382.10561106343	188.384005470075	1285.24480826675	3.65684097697326	0.116679005314888	31.3410366081228	1.28887792083889e-215	1.3155147312029e-212	up
AT1G72930	ZT4_vs_ZT0	ZT4	ZT0	9082.64020418184	1954.81310532015	5518.726654751	2.2157727905851	0.0733879948298292	30.1925784417873	2.96429914140756e-200	2.83646374093436e-197	up
