sample_id	timepoint	replicate	gsm	srr	read1_url	read2_url	md5_r1	md5_r2	bytes_r1	bytes_r2
ZT0_rep_1	ZT0	1	GSM7776093	SRR26039829	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/029/SRR26039829/SRR26039829_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/029/SRR26039829/SRR26039829_2.fastq.gz	151ef85bf27a7e7f6ecd8d66ca07264d	7d1f878bf337819ac03f5a82171b2277	2753905806	2755370606
ZT0_rep_2	ZT0	2	GSM7776094	SRR26039828	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/028/SRR26039828/SRR26039828_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/028/SRR26039828/SRR26039828_2.fastq.gz	2429fa0a754a4b5545a93fde6763f756	1e7901ba6eb2a9117b6be7dbc7150373	2572787889	2693128058
ZT0_rep_3	ZT0	3	GSM7776095	SRR26039827	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/027/SRR26039827/SRR26039827_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/027/SRR26039827/SRR26039827_2.fastq.gz	a4aa56b3be752083db2bfa2ab66caa88	9f6cca6e14374dfa84c73277f00b365c	2637755338	2639393126
ZT1_rep_1	ZT1	1	GSM7776102	SRR26039820	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/020/SRR26039820/SRR26039820_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/020/SRR26039820/SRR26039820_2.fastq.gz	bd0b287f5001f9d733df72da0077835f	c07bbf9d67af0117b82201051281c2a8	2670889236	2786877269
ZT1_rep_2	ZT1	2	GSM7776103	SRR26039819	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/019/SRR26039819/SRR26039819_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/019/SRR26039819/SRR26039819_2.fastq.gz	c97f5217423d66ae563fb1e721748b74	399a50941d084bca29c39ccb3ea64ff0	2757987329	2850052064
ZT1_rep_3	ZT1	3	GSM7776104	SRR26039818	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/018/SRR26039818/SRR26039818_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/018/SRR26039818/SRR26039818_2.fastq.gz	6da2f4deb9b054cb8c74486034efb44f	c5c4b312fc1926f7e04846e9867f9ae9	1922708243	1997441845
ZT4_rep_1	ZT4	1	GSM7776108	SRR26039814	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/014/SRR26039814/SRR26039814_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/014/SRR26039814/SRR26039814_2.fastq.gz	d9cc8a52ae47c8a8440e3c53d40fd004	c869c5d28d657f8c43c1a6785d50099a	2799142499	2933322615
ZT4_rep_2	ZT4	2	GSM7776109	SRR26039813	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/013/SRR26039813/SRR26039813_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/013/SRR26039813/SRR26039813_2.fastq.gz	6e482a2a11d1393cc9b72959de19cd1e	da5dac6f1c4f2bfdb1101068452563ef	3059456291	3176146461
ZT4_rep_3	ZT4	3	GSM7776110	SRR26039812	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/012/SRR26039812/SRR26039812_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/012/SRR26039812/SRR26039812_2.fastq.gz	c4d98cf49faf24e69f2dc20d39e5c6ba	fa498cf8bc275e98e3b314139d3bb52f	2142947857	2144623367
ZT8_rep_1	ZT8	1	GSM7776111	SRR26039811	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/011/SRR26039811/SRR26039811_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/011/SRR26039811/SRR26039811_2.fastq.gz	ef33f2844f31cf7ea44873a26b7f317b	d1eca716052bfad8f030678dc29ba5e4	2756623163	2869114156
ZT8_rep_2	ZT8	2	GSM7776112	SRR26039810	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/010/SRR26039810/SRR26039810_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/010/SRR26039810/SRR26039810_2.fastq.gz	6f18a330c6f835b864ef90138d4c710c	ea576ac8fafd66837f04728fcdb694d0	2838444728	2945205725
