run_accession	sample_accession	secondary_sample_accession	sample_alias	sample_title	library_layout	fastq_ftp	fastq_md5	fastq_bytes
SRR26039771	SAMN37359266	SRS18863650	GSM7776136	Leaves, 12d post transition, ZT0, rep 2	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/071/SRR26039771/SRR26039771_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/071/SRR26039771/SRR26039771_2.fastq.gz	852514bac8ff3a4702a2c5980ddeeb90;a543de64065e19a82380348ed3437e91	3450741290;3623529280
SRR26039773	SAMN37359268	SRS18863648	GSM7776134	Leaves, 7d post transition, ZT8, rep 3	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/073/SRR26039773/SRR26039773_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/073/SRR26039773/SRR26039773_2.fastq.gz	06bcfaed1b07e0d5d4eb70ea758c3bbc;83d83614611290c243458506a3741f9e	2296431693;2296361983
SRR26039779	SAMN37359274	SRS18863642	GSM7776128	Leaves, 7d post transition, ZT20, rep 3	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/079/SRR26039779/SRR26039779_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/079/SRR26039779/SRR26039779_2.fastq.gz	b6867785c3e97bfa04465c7c6d575c05;d3b3cf944b941facd51257eb7bf896f7	2726337149;2729592517
SRR26039780	SAMN37359275	SRS18863641	GSM7776127	Leaves, 7d post transition, ZT20, rep 2	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/080/SRR26039780/SRR26039780_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/080/SRR26039780/SRR26039780_2.fastq.gz	ce75f5bd31b78a02f151c402b1e11d7d;d7841a4a0f6fe0603442e782e8a3da9c	1857369014;1933178925
SRR26039789	SAMN37359253	SRS18863632	GSM7776149	Leaves, 12d post transition, ZT20, rep 3	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/089/SRR26039789/SRR26039789_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/089/SRR26039789/SRR26039789_2.fastq.gz	1b71c6dfd264d2e3dfcf10a838b3b622;f2c80d7149ce634bb65dbef02d70196c	3566337104;3697475267
SRR26039792	SAMN37359256	SRS18863629	GSM7776146	Leaves, 12d post transition, ZT1, rep 3	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/092/SRR26039792/SRR26039792_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/092/SRR26039792/SRR26039792_2.fastq.gz	44610800a865c1aa2ce82417138f027b;0add761fe05f69fc5d0e76fc80337d8c	4433117625;4597065189
SRR26039793	SAMN37359257	SRS18863628	GSM7776145	Leaves, 12d post transition, ZT1, rep 2	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/093/SRR26039793/SRR26039793_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/093/SRR26039793/SRR26039793_2.fastq.gz	6bbf03a58a7f8a6521c7aac319f1f844;a164cd5401af53a3be8e6fb4a825f41f	3019715513;3155635039
SRR26039796	SAMN37359260	SRS18863625	GSM7776142	Leaves, 12d post transition, ZT16, rep 2	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/096/SRR26039796/SRR26039796_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/096/SRR26039796/SRR26039796_2.fastq.gz	e6d4c7fe6feffb3ba7ae573e900de79f;087778c1027bc74075ae53769daa2c04	3409526654;3559797458
SRR26039800	SAMN37359280	SRS18863621	GSM7776122	Leaves, 7d post transition, ZT16, rep 3	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/000/SRR26039800/SRR26039800_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/000/SRR26039800/SRR26039800_2.fastq.gz	dcc35961405dd5716692f4c93a423a6c;231974d9135be44b90d1e3afccd6afd8	3154447180;3267884059
SRR26039812	SAMN37359292	SRS18863609	GSM7776110	Leaves, 2d post transition, ZT4, rep 3	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/012/SRR26039812/SRR26039812_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/012/SRR26039812/SRR26039812_2.fastq.gz	c4d98cf49faf24e69f2dc20d39e5c6ba;fa498cf8bc275e98e3b314139d3bb52f	2142947857;2144623367
