sample_id	mate	file	encoding	total_reads	sequence_length	minimum_position_mean_quality	maximum_position_mean_quality	base_quality_status	gc_status	adapter_status	overrepresented_status
ZT0_rep_1	R1	ZT0_rep_1_1.fastq.gz	Sanger / Illumina 1.9	51007306	150	30	30	pass	pass	fail	pass
ZT0_rep_1	R2	ZT0_rep_1_2.fastq.gz	Sanger / Illumina 1.9	51007306	150	30	30	pass	pass	fail	warn
ZT0_rep_2	R1	ZT0_rep_2_1.fastq.gz	Sanger / Illumina 1.9	37550269	150	34.3658173793642	36.5289516301468	pass	pass	fail	pass
ZT0_rep_2	R2	ZT0_rep_2_2.fastq.gz	Sanger / Illumina 1.9	37550269	150	34.3176442490998	36.2245961806559	pass	pass	fail	warn
ZT0_rep_3	R1	ZT0_rep_3_1.fastq.gz	Sanger / Illumina 1.9	49298691	150	30	30	pass	pass	fail	pass
ZT0_rep_3	R2	ZT0_rep_3_2.fastq.gz	Sanger / Illumina 1.9	49298691	150	30	30	pass	pass	fail	warn
ZT1_rep_1	R1	ZT1_rep_1_1.fastq.gz	Sanger / Illumina 1.9	39364201	150	34.893764844865	36.5311212083284	pass	pass	fail	pass
ZT1_rep_1	R2	ZT1_rep_1_2.fastq.gz	Sanger / Illumina 1.9	39364201	150	34.3318912277681	36.288539350767	pass	pass	fail	warn
ZT1_rep_2	R1	ZT1_rep_2_1.fastq.gz	Sanger / Illumina 1.9	40356592	150	34.488989555907	36.5120647947676	pass	pass	fail	pass
ZT1_rep_2	R2	ZT1_rep_2_2.fastq.gz	Sanger / Illumina 1.9	40356592	150	34.3940591415648	36.2816833988361	pass	pass	fail	pass
ZT1_rep_3	R1	ZT1_rep_3_1.fastq.gz	Sanger / Illumina 1.9	28261646	150	34.3603167345596	36.527348371712	pass	pass	fail	pass
ZT1_rep_3	R2	ZT1_rep_3_2.fastq.gz	Sanger / Illumina 1.9	28261646	150	34.3551369230228	36.2801971265226	pass	pass	fail	warn
ZT4_rep_1	R1	ZT4_rep_1_1.fastq.gz	Sanger / Illumina 1.9	41207156	150	34.8426793152141	36.5460938143851	pass	pass	fail	pass
ZT4_rep_1	R2	ZT4_rep_1_2.fastq.gz	Sanger / Illumina 1.9	41207156	150	34.3461124082429	36.2619044614484	pass	pass	fail	warn
ZT4_rep_2	R1	ZT4_rep_2_1.fastq.gz	Sanger / Illumina 1.9	44710737	150	34.6158446683623	36.5140264854055	pass	pass	fail	pass
ZT4_rep_2	R2	ZT4_rep_2_2.fastq.gz	Sanger / Illumina 1.9	44710737	150	34.4621985318649	36.2227828407302	pass	pass	fail	warn
ZT4_rep_3	R1	ZT4_rep_3_1.fastq.gz	Sanger / Illumina 1.9	39890343	150	30	30	pass	pass	fail	pass
ZT4_rep_3	R2	ZT4_rep_3_2.fastq.gz	Sanger / Illumina 1.9	39890343	150	30	30	pass	pass	fail	warn
ZT8_rep_1	R1	ZT8_rep_1_1.fastq.gz	Sanger / Illumina 1.9	40249934	150	34.5033461669776	36.5130804934984	pass	pass	fail	pass
ZT8_rep_1	R2	ZT8_rep_1_2.fastq.gz	Sanger / Illumina 1.9	40249934	150	34.4025566352481	36.2410581840954	pass	pass	fail	warn
ZT8_rep_2	R1	ZT8_rep_2_1.fastq.gz	Sanger / Illumina 1.9	41202409	150	34.830591944272	36.5282764898528	pass	pass	fail	pass
ZT8_rep_2	R2	ZT8_rep_2_2.fastq.gz	Sanger / Illumina 1.9	41202409	150	34.4799159437498	36.2666828776929	pass	pass	fail	pass
ZT8_rep_3	R1	ZT8_rep_3_1.fastq.gz	Sanger / Illumina 1.9	55005241	150	34.816459889704	36.5308028738571	pass	pass	fail	pass
ZT8_rep_3	R2	ZT8_rep_3_2.fastq.gz	Sanger / Illumina 1.9	55005241	150	34.4675256126957	36.2743308587631	pass	pass	fail	warn
ZT12_rep_1	R1	ZT12_rep_1_1.fastq.gz	Sanger / Illumina 1.9	109338862	150	34.7370422604179	36.5170950654306	pass	warn	fail	pass
ZT12_rep_1	R2	ZT12_rep_1_2.fastq.gz	Sanger / Illumina 1.9	109338862	150	34.3175183037848	36.1975792468007	pass	pass	fail	warn
ZT12_rep_2	R1	ZT12_rep_2_1.fastq.gz	Sanger / Illumina 1.9	38820654	150	30	30	pass	warn	fail	pass
ZT12_rep_2	R2	ZT12_rep_2_2.fastq.gz	Sanger / Illumina 1.9	38820654	150	30	30	pass	pass	fail	pass
ZT12_rep_3	R1	ZT12_rep_3_1.fastq.gz	Sanger / Illumina 1.9	57995520	150	34.8173538576773	36.4973534335066	pass	warn	fail	pass
ZT12_rep_3	R2	ZT12_rep_3_2.fastq.gz	Sanger / Illumina 1.9	57995520	150	34.5368113950871	36.2642204432342	pass	pass	fail	warn
ZT16_rep_1	R1	ZT16_rep_1_1.fastq.gz	Sanger / Illumina 1.9	56278940	150	30	30	pass	warn	fail	pass
ZT16_rep_1	R2	ZT16_rep_1_2.fastq.gz	Sanger / Illumina 1.9	56278940	150	30	30	pass	pass	fail	warn
ZT16_rep_2	R1	ZT16_rep_2_1.fastq.gz	Sanger / Illumina 1.9	41481986	150	34.641111638194	36.5425162864671	pass	warn	fail	pass
ZT16_rep_2	R2	ZT16_rep_2_2.fastq.gz	Sanger / Illumina 1.9	41481986	150	34.4240599280854	36.3779359551397	pass	pass	fail	warn
ZT16_rep_3	R1	ZT16_rep_3_1.fastq.gz	Sanger / Illumina 1.9	61638456	150	34.1403456309808	36.5474392804388	pass	warn	fail	pass
ZT16_rep_3	R2	ZT16_rep_3_2.fastq.gz	Sanger / Illumina 1.9	61638456	150	34.2132513507477	36.2817979736546	pass	pass	fail	warn
ZT20_rep_1	R1	ZT20_rep_1_1.fastq.gz	Sanger / Illumina 1.9	54201154	150	34.8643932193768	36.5118152281407	pass	warn	fail	pass
ZT20_rep_1	R2	ZT20_rep_1_2.fastq.gz	Sanger / Illumina 1.9	54201154	150	34.6246738584201	36.3752129705578	pass	pass	fail	warn
ZT20_rep_2	R1	ZT20_rep_2_1.fastq.gz	Sanger / Illumina 1.9	35681117	150	30	30	pass	warn	fail	pass
ZT20_rep_2	R2	ZT20_rep_2_2.fastq.gz	Sanger / Illumina 1.9	35681117	150	30	30	pass	pass	fail	warn
