ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GO:0009414	response to water deprivation	334	0.475785379923697	1.96675983187748	2.40022657235534e-10	2.30421750946113e-07	2.03513947792866e-07	1652	tags=27%, list=11%, signal=25%	AT2G42540/AT3G46970/AT2G39800/AT1G52400/AT3G29320/AT5G52310/AT2G15970/AT2G16600/AT4G39730/AT3G05640/AT1G20450/AT4G30960/AT1G54100/AT5G66400/AT3G12490/AT1G76180/AT1G02820/AT5G23010/AT2G22430/AT1G02205/AT5G66880/AT1G29395/AT2G41870/AT1G67360/AT5G63980/AT3G27690/AT5G07690/AT2G38750/AT1G02930/AT5G24030/AT2G44060/AT2G37760/AT2G46680/AT2G17840/AT4G39950/AT5G15970/AT5G40390/AT2G37180/AT5G27930/AT4G35300/AT3G25760/AT2G37770/AT5G57050/AT4G36020/AT2G05070/AT1G51140/AT5G03190/AT1G35720/AT5G13750/AT1G78080/AT3G50500/AT1G10370/AT3G45140/AT2G21620/AT3G11410/AT4G00630/AT2G40130/AT2G40880/AT5G04280/AT3G05500/AT5G50430/AT5G47100/AT4G34240/AT1G64660/AT2G29970/AT2G32150/AT1G44170/AT5G47120/AT1G49230/AT2G20880/AT5G25610/AT1G74520/AT5G07700/AT1G79600/AT4G17615/AT5G59320/AT4G24960/AT2G05100/AT4G34000/AT2G25625/AT2G31870/AT2G38760/AT1G78380/AT5G58070/AT5G65020/AT2G26740/AT1G16060/AT5G15960/AT5G09410/AT1G31690
GO:0001101	response to acid chemical	359	0.463508801129514	1.93214848908211	1.70143356658357e-10	2.30421750946113e-07	2.03513947792866e-07	1652	tags=26%, list=11%, signal=24%	AT2G42540/AT3G46970/AT2G39800/AT1G52400/AT3G29320/AT5G52310/AT2G15970/AT2G16600/AT4G39730/AT3G05640/AT1G20450/AT4G30960/AT1G54100/AT5G66400/AT3G12490/AT1G76180/AT1G02820/AT5G23010/AT2G22430/AT1G02205/AT5G66880/AT1G29395/AT2G41870/AT1G67360/AT5G63980/AT3G27690/AT5G07690/AT2G38750/AT1G02930/AT5G24030/AT2G44060/AT2G37760/AT2G46680/AT2G17840/AT4G39950/AT5G15970/AT5G40390/AT2G37180/AT5G27930/AT4G35300/AT3G25760/AT2G37770/AT5G57050/AT4G36020/AT2G05070/AT1G51140/AT5G03190/AT1G35720/AT5G13750/AT1G78080/AT3G50500/AT1G10370/AT3G45140/AT2G21620/AT3G11410/AT4G00630/AT2G40130/AT3G45640/AT2G40880/AT5G04280/AT3G05500/AT2G32390/AT5G50430/AT5G47100/AT4G34240/AT1G64660/AT2G29970/AT2G32150/AT1G44170/AT5G47120/AT1G49230/AT2G20880/AT5G25610/AT1G74520/AT5G07700/AT1G79600/AT1G42540/AT4G17615/AT5G59320/AT4G24960/AT2G05100/AT4G34000/AT2G25625/AT2G31870/AT2G38760/AT1G78380/AT5G58070/AT5G65020/AT2G26740/AT1G16060/AT5G15960/AT5G09410/AT1G31690
GO:0009415	response to water	341	0.466278876378098	1.93052735570803	7.17745678096903e-10	4.59357233982018e-07	4.05715188566355e-07	1652	tags=26%, list=11%, signal=24%	AT2G42540/AT3G46970/AT2G39800/AT1G52400/AT3G29320/AT5G52310/AT2G15970/AT2G16600/AT4G39730/AT3G05640/AT1G20450/AT4G30960/AT1G54100/AT5G66400/AT3G12490/AT1G76180/AT1G02820/AT5G23010/AT2G22430/AT1G02205/AT5G66880/AT1G29395/AT2G41870/AT1G67360/AT5G63980/AT3G27690/AT5G07690/AT2G38750/AT1G02930/AT5G24030/AT2G44060/AT2G37760/AT2G46680/AT2G17840/AT4G39950/AT5G15970/AT5G40390/AT2G37180/AT5G27930/AT4G35300/AT3G25760/AT2G37770/AT5G57050/AT4G36020/AT2G05070/AT1G51140/AT5G03190/AT1G35720/AT5G13750/AT1G78080/AT3G50500/AT1G10370/AT3G45140/AT2G21620/AT3G11410/AT4G00630/AT2G40130/AT2G40880/AT5G04280/AT3G05500/AT5G50430/AT5G47100/AT4G34240/AT1G64660/AT2G29970/AT2G32150/AT1G44170/AT5G47120/AT1G49230/AT2G20880/AT5G25610/AT1G74520/AT5G07700/AT1G79600/AT4G17615/AT5G59320/AT4G24960/AT2G05100/AT4G34000/AT2G25625/AT2G31870/AT2G38760/AT1G78380/AT5G58070/AT5G65020/AT2G26740/AT1G16060/AT5G15960/AT5G09410/AT1G31690
GO:0019760	glucosinolate metabolic process	77	0.640373317656742	2.18202712388567	5.03662226598225e-08	2.41757868767148e-05	2.13526275539406e-05	1590	tags=44%, list=10%, signal=40%	AT1G52400/AT3G58990/AT4G12030/AT5G23010/AT1G62560/AT2G14750/AT5G60890/AT2G44490/AT2G25450/AT5G14200/AT1G74090/AT5G07690/AT4G39940/AT2G20610/AT1G16410/AT1G54040/AT1G18590/AT4G13770/AT1G65860/AT5G61420/AT4G30530/AT1G16400/AT2G22840/AT2G43100/AT3G19710/AT1G62540/AT5G63790/AT5G07700/AT3G14210/AT4G31500/AT3G03640/AT5G25980/AT1G62570/AT1G12140
GO:1901657	glycosyl compound metabolic process	100	0.587968849674115	2.10729469720812	7.4437314333316e-08	2.85839287039934e-05	2.5246002819152e-05	1818	tags=38%, list=12%, signal=34%	AT1G52400/AT3G58990/AT4G12030/AT5G23010/AT1G62560/AT2G14750/AT5G60890/AT2G44490/AT2G25450/AT5G14200/AT1G74090/AT5G07690/AT4G39940/AT2G20610/AT1G16410/AT1G54040/AT1G18590/AT4G13770/AT1G65860/AT5G61420/AT4G30530/AT1G16400/AT2G22840/AT2G43100/AT3G19710/AT1G62540/AT2G32150/AT3G46940/AT5G63790/AT5G07700/AT3G14210/AT4G31500/AT3G03640/AT5G25980/AT1G62570/AT1G12140/AT4G13430/AT1G03110
GO:0006790	sulfur compound metabolic process	268	0.45672965917976	1.84609680560161	1.25692446337071e-07	4.02215828278626e-05	3.55246545700036e-05	1590	tags=27%, list=10%, signal=25%	AT1G52400/AT3G03780/AT5G28030/AT1G19570/AT3G58990/AT4G12030/AT2G30860/AT3G22200/AT1G19550/AT5G23010/AT1G62560/AT2G14750/AT5G60890/AT2G44490/AT2G25450/AT5G14200/AT5G63980/AT1G74090/AT5G07690/AT4G39940/AT1G53580/AT2G20610/AT1G02930/AT1G16410/AT2G36880/AT4G39950/AT1G54040/AT1G18590/AT4G13770/AT1G65860/AT1G78370/AT5G61420/AT1G10370/AT3G23810/AT4G30530/AT1G16400/AT4G00520/AT3G45640/AT2G22840/AT2G43100/AT1G49820/AT3G19710/AT1G64660/AT1G31230/AT1G62540/AT3G56040/AT3G03190/AT5G17920/AT5G63790/AT5G07700/AT3G14210/AT4G14716/AT1G02880/AT4G31500/AT4G29210/AT4G35360/AT2G02390/AT5G54770/AT5G41580/AT3G59760/AT3G54250/AT3G03640/AT1G19920/AT4G17830/AT1G08030/AT1G17190/AT4G04610/AT4G33030/AT1G78380/AT5G25980/AT1G62570/AT3G21220/AT1G12140
GO:1901135	carbohydrate derivative metabolic process	433	0.402712649065897	1.70444495254834	1.58451202063532e-07	4.34609011374258e-05	3.83856972217067e-05	2541	tags=26%, list=17%, signal=22%	AT1G52400/AT4G26530/AT3G58990/AT1G03310/AT4G12030/AT3G02230/AT5G08570/AT1G43670/AT5G11670/AT5G23010/AT1G62560/AT2G14750/AT5G60890/AT2G44490/AT2G25450/AT5G66420/AT5G14200/AT2G39930/AT1G74090/AT5G07690/AT3G03250/AT4G39940/AT2G20610/AT5G56630/AT2G19860/AT1G16410/AT1G54040/AT5G41670/AT5G28910/AT1G18590/AT3G10370/AT4G13770/AT1G65860/AT5G03650/AT5G61420/AT3G52990/AT4G02260/AT1G16300/AT4G30530/AT1G16400/AT2G22840/AT2G43100/AT1G63000/AT3G19710/AT1G13440/AT1G62540/AT2G32150/AT3G56040/AT3G47540/AT3G46940/AT4G09650/AT5G63790/AT5G07700/AT3G14210/AT4G17360/AT5G24300/AT3G29360/AT3G04120/AT3G02360/AT3G05630/AT4G31500/AT3G55440/AT1G79550/AT1G08200/AT3G03640/AT2G13290/AT1G76400/AT1G12990/AT3G57630/AT1G08030/AT4G09320/AT2G31870/AT1G32440/AT4G24620/AT3G17940/AT4G33030/AT5G25980/AT1G62570/AT1G27120/AT3G57170/AT1G12140/AT2G27860/AT3G01380/AT2G39770/AT3G27300/AT1G54130/AT4G29130/AT5G52560/AT4G13430/AT1G03110/AT5G15650/AT2G22330/AT2G36390/AT4G11010/AT1G68760/AT3G54470/AT5G08680/AT2G42390/AT4G37400/AT1G24100/AT5G26667/AT3G27540/AT2G41540/AT2G45790/AT1G11720/AT3G09820/AT5G44070/AT2G11810/AT5G53340/AT3G54050/AT3G10620
GO:0016144	S-glycoside biosynthetic process	41	0.723444221627271	2.20594841918608	2.27564230696761e-07	4.85470358819756e-05	4.28778918891791e-05	1969	tags=66%, list=13%, signal=58%	AT3G58990/AT4G12030/AT5G23010/AT1G62560/AT2G14750/AT5G60890/AT2G25450/AT5G14200/AT1G74090/AT5G07690/AT4G39940/AT2G20610/AT1G16410/AT1G18590/AT4G13770/AT1G65860/AT5G61420/AT1G16400/AT2G43100/AT3G19710/AT1G62540/AT5G07700/AT4G31500/AT1G62570/AT1G12140/AT4G13430/AT2G22330
GO:0019761	glucosinolate biosynthetic process	41	0.723444221627271	2.20594841918608	2.27564230696761e-07	4.85470358819756e-05	4.28778918891791e-05	1969	tags=66%, list=13%, signal=58%	AT3G58990/AT4G12030/AT5G23010/AT1G62560/AT2G14750/AT5G60890/AT2G25450/AT5G14200/AT1G74090/AT5G07690/AT4G39940/AT2G20610/AT1G16410/AT1G18590/AT4G13770/AT1G65860/AT5G61420/AT1G16400/AT2G43100/AT3G19710/AT1G62540/AT5G07700/AT4G31500/AT1G62570/AT1G12140/AT4G13430/AT2G22330
GO:0015980	energy derivation by oxidation of organic compounds	175	0.501573314232197	1.93314490640062	2.80994060678451e-07	5.39508596502626e-05	4.765067702663e-05	2399	tags=27%, list=16%, signal=23%	AT3G46970/AT5G50950/AT3G29320/AT4G39210/AT4G26530/AT1G03310/AT5G08570/AT3G22370/AT2G39930/AT3G03250/AT5G56630/AT2G19860/AT2G21590/AT1G53310/AT5G43330/AT2G36220/AT3G52990/AT4G05020/AT1G16300/AT5G15090/AT1G13440/AT3G15840/AT3G04120/AT3G27240/AT3G06310/AT3G55440/AT1G79550/AT2G42790/AT4G35830/AT1G32440/AT4G24620/AT2G05710/AT5G19220/AT4G29130/AT4G01100/AT1G27680/AT1G04410/AT5G55070/AT4G26910/AT2G20420/AT5G40810/AT5G40650/AT5G08680/AT3G52730/AT1G65290/AT4G35260/AT4G26970/AT3G10020
