category	subcategory	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
Metabolism	Biosynthesis of other secondary metabolites	ath00966	Glucosinolate biosynthesis	15/302	21/4202	0.714285714285714	9.93850520340587	11.4256777125217	1.84976321607781e-13	2.01624190552481e-11	1.77187844908506e-11	AT3G58990/AT5G23010/AT5G14200/AT1G74090/AT2G20610/AT1G16410/AT4G39950/AT1G18590/AT4G13770/AT1G16400/AT2G43100/AT3G19710/AT4G31500/AT1G24100/AT5G23020	15
Metabolism	Carbohydrate metabolism	ath00500	Starch and sucrose metabolism	32/302	111/4202	0.288288288288288	4.01121651452777	8.94615136451925	2.27253561303192e-12	1.23853190910239e-10	1.08842495150476e-10	AT2G40840/AT3G46970/AT3G29320/AT3G18080/AT4G17770/AT4G27820/AT4G39210/AT4G09020/AT3G62750/AT3G06500/AT1G45191/AT4G27830/AT1G03310/AT4G21760/AT1G64390/AT2G44490/AT2G39930/AT2G22190/AT2G19860/AT1G69830/AT4G15210/AT2G21590/AT4G09510/AT5G64860/AT2G31390/AT1G60270/AT1G02850/AT2G32290/AT4G22590/AT4G39010/AT1G27680/AT4G02280	32
NA	NA	ath00999	Biosynthesis of various plant secondary metabolites	10/302	29/4202	0.344827586206897	4.79789906371318	5.71038952157237	1.8558904479301e-05	0.000674306862747936	0.000592582564075927	AT3G18080/AT4G27820/AT3G62750/AT1G45191/AT4G27830/AT4G21760/AT2G44490/AT1G60270/AT1G09240/AT1G02850	10
Metabolism	Energy metabolism	ath00196	Photosynthesis - antenna proteins	8/302	21/4202	0.380952380952381	5.30053610848313	5.49717636768482	5.77401826995374e-05	0.00157341997856239	0.00138272542780471	AT3G54890/AT3G47470/AT3G27690/AT1G61520/AT5G54270/AT2G34420/AT2G05070/AT2G34430	8
Metabolism	Metabolism of other amino acids	ath00460	Cyanoamino acid metabolism	10/302	34/4202	0.294117647058824	4.09232567199065	5.03742204027242	8.78570128462476e-05	0.0019152828800482	0.0016831554040018	AT3G18080/AT4G27820/AT3G62750/AT1G45191/AT4G27830/AT4G21760/AT2G44490/AT1G60270/AT1G02850/AT5G22300	10
Metabolism	Global and overview maps	ath01210	2-Oxocarboxylic acid metabolism	17/302	89/4202	0.191011235955056	2.65771262742764	4.3981739605673	0.000151166269974541	0.00274618723787083	0.00241335623994443	AT3G58990/AT5G23010/AT5G14200/AT2G20610/AT1G17290/AT1G16410/AT4G39950/AT3G02020/AT4G13770/AT1G16400/AT2G43100/AT1G21400/AT3G19710/AT1G62800/AT4G31500/AT1G24100/AT5G23020	17
Metabolism	Amino acid metabolism	ath00380	Tryptophan metabolism	10/302	40/4202	0.25	3.47847682119205	4.38239307034237	0.000385336813964832	0.00600024467459524	0.00527303008583455	AT1G54100/AT1G20620/AT2G20610/AT4G39950/AT4G36250/AT1G20630/AT4G31500/AT5G25980/AT4G13260/AT1G24100	10
Environmental Information Processing	Signal transduction	ath04016	MAPK signaling pathway - plant	15/302	82/4202	0.182926829268293	2.54522694233565	3.93186048015215	0.000600183729049677	0.00817750330830185	0.00718641043993692	AT1G18150/AT5G44420/AT4G26080/AT1G20620/AT5G66880/AT1G66410/AT2G41090/AT5G24770/AT4G11330/AT5G57050/AT1G20630/AT3G50500/AT3G11410/AT5G07180/AT5G62230	15
Metabolism	Lipid metabolism	ath00592	alpha-Linolenic acid metabolism	9/302	36/4202	0.25	3.47847682119205	4.15550671115755	0.000755023248994034	0.00914417046003885	0.00803591996005346	AT3G25770/AT5G48880/AT1G20510/AT1G17420/AT3G25760/AT2G06925/AT1G19640/AT5G42650/AT1G76690	9
Environmental Information Processing	Signal transduction	ath04075	Plant hormone signal transduction	33/302	271/4202	0.121771217712177	1.69431343320056	3.28803324569937	0.00156113854214878	0.0170164101094217	0.0149540639300568	AT2G43010/AT1G22070/AT5G61270/AT1G04250/AT4G26080/AT1G75580/AT2G46370/AT5G66880/AT1G03430/AT1G66410/AT2G41090/AT4G14560/AT1G19180/AT1G15050/AT4G22620/AT5G57050/AT4G38850/AT5G65870/AT4G03400/AT3G50500/AT3G11410/AT1G77850/AT1G49720/AT4G21940/AT5G37600/AT5G18030/AT1G15580/AT1G77920/AT3G61900/AT2G18010/AT4G13260/AT4G32280/AT4G36110	33
Metabolism	Metabolism of other amino acids	ath00480	Glutathione metabolism	13/302	74/4202	0.175675675675676	2.44433506354036	3.4878795516895	0.00202437302492636	0.0200596963379066	0.0176285115089281	AT1G19570/AT2G30860/AT4G11600/AT1G19550/AT1G02930/AT5G41670/AT1G78370/AT4G31870/AT1G10370/AT3G03190/AT1G17190/AT5G17220/AT1G59670	13
