ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0009414	response to water deprivation	30/332	137/4596	0.218978102189781	3.03139565561516	6.7350258730447	2.0399303266451e-08	1.99462102066361e-05	1.85923043967457e-05	AT3G05640/AT1G04250/AT4G26080/AT4G30960/AT5G66400/AT5G60890/AT5G07690/AT2G38750/AT5G24030/AT1G07250/AT4G04020/AT2G46680/AT3G62700/AT5G41670/AT5G27930/AT2G37770/AT5G57050/AT4G03510/AT5G61420/AT3G11410/AT1G09350/AT1G49720/AT2G20880/AT5G07700/AT5G05090/AT2G31870/AT2G38760/AT5G65020/AT3G53880/AT1G59670	30
GO:0009415	response to water	30/332	140/4596	0.214285714285714	2.96643717728055	6.59287292257824	3.45988034807217e-08	1.99462102066361e-05	1.85923043967457e-05	AT3G05640/AT1G04250/AT4G26080/AT4G30960/AT5G66400/AT5G60890/AT5G07690/AT2G38750/AT5G24030/AT1G07250/AT4G04020/AT2G46680/AT3G62700/AT5G41670/AT5G27930/AT2G37770/AT5G57050/AT4G03510/AT5G61420/AT3G11410/AT1G09350/AT1G49720/AT2G20880/AT5G07700/AT5G05090/AT2G31870/AT2G38760/AT5G65020/AT3G53880/AT1G59670	30
GO:0005975	carbohydrate metabolic process	32/332	174/4596	0.183908045977011	2.54590776900706	5.8003211017604	5.15491876590016e-07	0.000198120711236096	0.00018467270385909	AT2G40840/AT1G70820/AT4G17770/AT1G19570/AT4G09020/AT3G06500/AT3G02870/AT1G03310/AT3G01310/AT5G08570/AT1G43670/AT1G19550/AT3G50760/AT5G60890/AT2G39930/AT5G07690/AT2G22190/AT2G19860/AT2G22240/AT1G69830/AT3G10370/AT2G21590/AT5G61420/AT4G09510/AT1G09350/AT4G24010/AT2G31390/AT5G07700/AT4G22590/AT2G34850/AT1G27680/AT4G38310	32
GO:1901657	glycosyl compound metabolic process	16/332	64/4596	0.25	3.46084337349398	5.53136364460153	7.64823862295815e-06	0.00220460478306769	0.00205496095632639	AT3G18080/AT4G27820/AT3G62750/AT1G45191/AT4G27830/AT4G21760/AT4G26510/AT5G60890/AT2G44490/AT5G07690/AT5G65860/AT5G61420/AT3G23810/AT1G60270/AT5G07700/AT1G02850	16
GO:0009819	drought recovery	7/332	13/4596	0.538461538461538	7.45412418906395	6.50185480646524	1.13197600680747e-05	0.00261033667169803	0.00243315263779038	AT3G05640/AT5G60890/AT5G07690/AT1G07250/AT5G27930/AT5G61420/AT5G07700	7
GO:0009611	response to wounding	18/332	90/4596	0.2	2.76867469879518	4.72799301145076	5.59703037255837e-05	0.0101638484777266	0.00947394832314677	AT5G47240/AT5G48880/AT1G04250/AT1G21590/AT1G14250/AT1G20510/AT5G60890/AT5G07690/AT1G19180/AT4G11330/AT3G62700/AT4G03510/AT5G61420/AT1G77280/AT2G32390/AT1G76650/AT5G07700/AT1G76690	18
GO:0001101	response to acid chemical	44/332	338/4596	0.130177514792899	1.80209595779568	4.27449733832244	6.17059317815142e-05	0.0101638484777266	0.00947394832314677	AT3G05640/AT1G04250/AT4G26080/AT4G30960/AT5G66400/AT5G66880/AT5G60890/AT2G41870/AT5G07690/AT2G38750/AT2G45660/AT4G29190/AT5G24030/AT1G07250/AT1G19180/AT4G04020/AT2G46680/AT5G63320/AT4G11330/AT3G62700/AT5G41670/AT5G27930/AT2G37770/AT5G57050/AT4G03510/AT5G61420/AT3G28220/AT3G50500/AT3G11410/AT1G09350/AT2G32390/AT1G49720/AT4G25420/AT4G21940/AT2G20880/AT5G07700/AT5G05090/AT2G19810/AT2G31870/AT2G38760/AT5G65020/AT3G53880/AT1G59670/AT3G20370	44
GO:0019748	secondary metabolic process	15/332	68/4596	0.220588235294118	3.05368532955351	4.76034413306715	7.23829859146253e-05	0.0104321978449454	0.00972408271300427	AT2G45560/AT1G64900/AT3G61880/AT5G60890/AT5G07690/AT3G26290/AT4G32980/AT1G78370/AT5G61420/AT5G14700/AT5G07990/AT5G07700/AT1G17190/AT1G59670/AT5G04660	15
GO:0009416	response to light stimulus	32/332	233/4596	0.137339055793991	1.90123584466622	3.9393721676908	0.000250434463325858	0.0315108170696032	0.0293719306414068	AT5G02810/AT2G42530/AT4G15920/AT1G23080/AT3G54890/AT2G29650/AT2G46370/AT5G65310/AT3G21330/AT3G16690/AT5G53420/AT5G60890/AT3G27690/AT5G07690/AT1G61520/AT5G54270/AT5G64330/AT4G32980/AT2G05070/AT5G61420/AT5G47370/AT4G25420/AT5G47230/AT5G07700/AT2G29090/AT5G07460/AT2G46240/AT1G58300/AT1G59670/AT3G27640/AT4G32280/AT2G31160	32
GO:0016051	carbohydrate biosynthetic process	17/332	94/4596	0.180851063829787	2.50358882337862	4.10954246025003	0.000325690452337795	0.0315108170696032	0.0293719306414068	AT4G17770/AT3G02870/AT1G43670/AT3G50760/AT5G60890/AT5G07690/AT2G22190/AT2G22240/AT2G21590/AT5G61420/AT1G09350/AT4G24010/AT5G07700/AT4G22590/AT2G34850/AT1G27680/AT4G38310	17
