,mt,ribo,hb,n_cells_by_counts,mean_counts,log1p_mean_counts,pct_dropout_by_counts,total_counts,log1p_total_counts,n_cells,highly_variable,means,dispersions,dispersions_norm,highly_variable_nbatches,highly_variable_intersection
AL627309.1,False,False,False,40,0.0023357664233576644,0.0023330427613663914,99.76642335766424,40.0,3.713572,40,False,0.0022726354742871897,0.5325296317338557,-0.15715943,0,False
AL627309.3,False,False,False,3,0.0001751824817518248,0.0001751671390926857,99.98248175182482,3.0,1.3862944,3,False,0.00017205446300277673,0.18500815936744985,-0.7328983,0,False
AL627309.5,False,False,False,155,0.00945985401459854,0.009415389792360717,99.09489051094891,162.0,5.09375,155,False,0.010680348776135305,0.8948365796688257,0.44209448,0,False
AL627309.4,False,False,False,7,0.00040875912408759124,0.00040867560483555794,99.95912408759125,7.0,2.0794415,7,False,0.00043260908975666025,0.2557743968870346,-0.61750174,0,False
AP006222.2,False,False,False,3,0.00023357664233576643,0.00023354936755892855,99.98248175182482,4.0,1.609438,3,False,0.0001687958734452801,-0.2115240436224753,-1.3846028,0,False
AL669831.2,False,False,False,6,0.0003503649635036496,0.0003503036000324793,99.96496350364964,6.0,1.9459102,6,False,0.0005441887727970181,0.333349851385476,-0.48500547,0,False
LINC01409,False,False,False,880,0.05675912408759124,0.055206794529775075,94.86131386861314,972.0,6.880384,880,False,0.05809170768745672,0.9032638342097018,0.45544514,0,False
FAM87B,False,False,False,10,0.0005839416058394161,0.0005837711782831674,99.94160583941606,10.0,2.3978953,10,False,0.00044445470856675903,0.2836537492136043,-0.5721386,0,False
LINC01128,False,False,False,1619,0.11912408759124088,0.11254631468422943,90.54598540145984,2040.0,7.6211953,1619,False,0.0889715596578268,0.8317966129967,0.33680537,0,False
LINC00115,False,False,False,210,0.012846715328467153,0.012764896273424045,98.77372262773723,220.0,5.398163,210,False,0.0127147204791403,0.8372635603856704,0.3457512,0,False
FAM41C,False,False,False,283,0.01745985401459854,0.01730918204231567,98.34744525547445,299.0,5.7037826,283,False,0.012980190528671505,0.2927092492033644,-0.5556256,0,False
AL645608.2,False,False,False,20,0.0012846715328467154,0.0012838470484252955,99.88321167883211,22.0,3.1354942,20,False,0.0008719749484749618,0.23715090565713895,-0.6480274,0,False
LINC02593,False,False,False,5,0.0003503649635036496,0.0003503036000324793,99.97080291970802,6.0,1.9459102,5,False,0.00020736121630494039,0.21347456775932402,-0.20474036,0,False
SAMD11,False,False,False,9,0.0005839416058394161,0.0005837711782831674,99.94744525547445,10.0,2.3978953,9,False,0.0003547645437964404,0.078432224050343,-0.42895573,0,False
NOC2L,False,False,False,2567,0.18645255474452554,0.17096780852106422,85.01021897810219,3193.0,8.06903,2567,False,0.17603045387483057,0.946761843804165,0.5273426,0,False
KLHL17,False,False,False,183,0.010861313868613139,0.010802753446303472,98.93138686131387,186.0,5.2311087,183,False,0.016522153794665765,1.1122458602046423,0.80131906,0,False
PLEKHN1,False,False,False,73,0.004613138686131387,0.004602530773200895,99.57372262773723,79.0,4.3820267,73,False,0.007243434624139483,1.0236332719927037,0.65505344,0,False
AL645608.7,False,False,False,14,0.0009343065693430657,0.0009338703766309747,99.91824817518248,16.0,2.8332133,14,False,0.0006056522900616553,0.04150246669572222,-0.9699226,0,False
HES4,False,False,False,197,0.018861313868613137,0.018685644751038944,98.84963503649635,323.0,5.7807436,197,False,0.018602005464585826,1.028590475838914,0.6644033,1,False
ISG15,False,False,False,4177,0.40724087591240876,0.3416309617114962,75.60875912408758,6974.0,8.850087,4177,True,0.30549819711055026,1.2442262039588532,0.8011543,1,False
AGRN,False,False,False,118,0.007416058394160584,0.007388694637307715,99.31094890510948,127.0,4.8520303,118,False,0.006070059771956495,1.0285641068696203,0.6610694,1,False
C1orf159,False,False,False,435,0.027094890510948905,0.026734322501898736,97.45985401459853,464.0,6.1420374,435,False,0.03050354496711677,1.0930122798097088,0.76991636,0,False
AL390719.3,False,False,False,5,0.00029197080291970805,0.00029192818773955307,99.97080291970802,5.0,1.7917595,5,False,0.0002427007267688516,-0.15288111473225238,-1.2925309,0,False
LINC01342,False,False,False,7,0.00040875912408759124,0.00040867560483555794,99.95912408759125,7.0,2.0794415,7,False,0.0004446436511522598,0.36545844033153124,-0.43647727,0,False
AL390719.2,False,False,False,5,0.00029197080291970805,0.00029192818773955307,99.97080291970802,5.0,1.7917595,5,False,0.0005835524506709752,0.776835701480973,0.24284154,1,False
TTLL10,False,False,False,17,0.0012846715328467154,0.0012838470484252955,99.9007299270073,22.0,3.1354942,17,False,0.0011745125137438692,1.075471014899196,0.74079394,0,False
TNFRSF18,False,False,False,305,0.02254014598540146,0.02228987074147468,98.21897810218978,386.0,5.9584246,305,False,0.026534192259235877,1.0052967341939927,0.62419707,0,False
TNFRSF4,False,False,False,520,0.04245255474452555,0.04157616261873449,96.96350364963504,727.0,6.590301,520,False,0.046786946721161043,1.0071285942560175,0.6277653,0,False
SDF4,False,False,False,3729,0.29605839416058394,0.2593276541377096,78.22481751824817,5070.0,8.531293,3729,False,0.22353285812736134,0.6655426422616424,0.061974745,0,False
B3GALT6,False,False,False,1166,0.07602919708029197,0.07327759620443486,93.19124087591241,1302.0,7.172425,1166,False,0.06474279557272,0.5905167770692189,-0.06199698,0,False
C1QTNF12,False,False,False,62,0.003737226277372263,0.0037302601977308903,99.63795620437956,64.0,4.1743875,62,True,0.004953506474619033,1.2185655832261226,0.9751714,1,False
AL162741.1,False,False,False,26,0.0015182481751824818,0.0015170968016549387,99.84817518248175,26.0,3.295837,26,True,0.002219289228050609,1.4109469643868353,1.2954582,2,True
UBE2J2,False,False,False,3191,0.24350364963503648,0.21793291922688782,81.36642335766423,4170.0,8.335911,3191,False,0.16961270580603355,0.6189640053625067,-0.014707873,0,False
LINC01786,False,False,False,23,0.001343065693430657,0.0013421645874416776,99.86569343065693,23.0,3.1780539,23,True,0.00229606258508075,1.1658804684212423,0.89243764,1,False
SCNN1D,False,False,False,99,0.006014598540145986,0.00599658304357516,99.42189781021898,103.0,4.644391,99,False,0.007109580077922495,0.8614202379492777,0.38700628,0,False
ACAP3,False,False,False,1192,0.0785985401459854,0.07566255044889378,93.03941605839417,1346.0,7.205635,1192,False,0.08610077270986799,1.1243976847298565,0.8211841,0,False
PUSL1,False,False,False,802,0.052029197080291974,0.05072086780899089,95.31678832116788,891.0,6.793466,802,False,0.035750036463077506,0.48188016229787434,-0.24196246,0,False
INTS11,False,False,False,2435,0.1758248175182482,0.16196987368472576,85.78102189781022,3011.0,8.01036,2435,False,0.1404611496273414,0.8061755603108234,0.29461125,0,False
AL139287.1,False,False,False,3,0.0001751824817518248,0.0001751671390926857,99.98248175182482,3.0,1.3862944,3,False,0.0001500557391211963,-0.04282913303185186,-0.5515045,0,False
CPTP,False,False,False,905,0.05629197080291971,0.05476463457120895,94.71532846715328,964.0,6.872128,905,False,0.04877029704855723,0.7485189483907605,0.19918805,0,False
TAS1R3,False,False,False,46,0.00291970802919708,0.00291545396012405,99.73138686131387,50.0,3.9318256,46,False,0.0032131136091767412,0.8942856437518063,0.44216204,0,False
