PC,variance_ratio
1,0.19577396
2,0.10133613
3,0.05735354
4,0.032598857
5,0.030913947
6,0.027514013
7,0.013023854
8,0.010642851
9,0.009064592
10,0.007776866
11,0.00719336
12,0.006824848
13,0.0062891766
14,0.0057926606
15,0.004755149
16,0.004528436
17,0.0043458845
18,0.004115613
19,0.003792573
20,0.0036909797
21,0.003534679
22,0.0034184027
23,0.003152059
24,0.0031113748
25,0.002974558
26,0.002899621
27,0.00289471
28,0.0026883103
29,0.0026504209
30,0.0025990899
31,0.0025459442
32,0.0025078405
33,0.002471012
34,0.0023595756
35,0.002330445
36,0.002300969
37,0.0022322529
38,0.0021977983
39,0.0021684337
40,0.0021546269
41,0.0021304353
42,0.0020970886
43,0.0020765706
44,0.0020346686
45,0.0019762886
46,0.0019376811
47,0.0019276362
48,0.0019016401
49,0.0018863035
50,0.0018602655
