,FCN1,CD14,TCF7L2,FCGR3A,LYN,CST3,COTL1,LYZ,DMXL2,CLEC10A,FCER1A,MKI67,HBA1,HBB,CDK6,SYNGR1,HBM,GYPA,GNLY,NKG7,CD247,FCER1G,TYROBP,KLRG1,FCGR3A,ID2,PLCG2,GNLY,SYNE1,MS4A1,IL4R,IGHD,FCRL1,IGHM,MS4A1,ITGB1,COL4A4,PRDM1,IRF4,PAX5,BCL11A,BLK,IGHD,IGHM,MZB1,HSP90B1,FNDC3B,PRDM1,IGKC,JCHAIN,XBP1,PRDM1,PAX5,CD4,IL7R,TRBC2,CD8A,CD8B,GZMK,GZMA,CCL5,GZMB,GZMH,GZMA,LEF1,CCR7,TCF7,GZMB,IL3RA,COBLL1,TCF4,ITGA2B,PF4,TUBB1,PPBP
0,0.032318067,0.01080216,0.007402333,0.0042772167,0.007533804,0.028100055,0.40680164,0.13628961,0.009618573,0.0016918076,0.0019783743,0.012322712,0.9366488,2.4828947,0.11371467,0.038256746,0.136435,0.0159293,0.036822997,0.046120603,0.48850638,0.048633225,0.01819058,0.050744195,0.0042772167,0.53522426,1.2760228,0.036822997,0.18276477,0.006888247,0.12052794,0.0064733233,0.004039844,0.059014477,0.006888247,0.34260923,0.0033309245,0.13983808,0.023245238,0.0055775703,0.008297301,0.004194044,0.0064733233,0.059014477,0.008659648,0.48085293,0.033191912,0.13983808,0.29919598,0.018577749,0.3028338,0.13983808,0.0055775703,0.20878541,1.3026037,1.2279326,0.21754207,0.39066955,0.050154027,0.051881004,0.09623969,0.009902275,0.005943302,0.051881004,0.5022913,0.5296836,0.782672,0.009902275,0.005708939,0.0021402382,0.008435782,0.00070177746,0.0013829445,0.0018105285,0.0013742934
1,0.09118342,0.025111528,0.017797826,0.05130171,0.038256984,0.06364819,0.170444,0.34523904,0.022266908,0.0031110458,0.0038798635,0.03832546,1.7569276,3.7637079,0.15888782,0.025576316,0.31671697,0.03503344,0.4229378,0.3238111,0.32921904,0.04944414,0.081333816,0.15236625,0.05130171,0.3889133,1.2620876,0.4229378,0.6859512,0.029807152,0.15044814,0.016889814,0.011669464,0.13038236,0.029807152,0.2668922,0.00486171,0.19547896,0.028140843,0.019469265,0.01580831,0.0057889433,0.016889814,0.13038236,0.026213912,0.31182668,0.07131809,0.19547896,0.7497283,0.05267674,0.17568333,0.19547896,0.019469265,0.111042574,0.80553186,0.37934765,0.123324655,0.07795162,0.12052913,0.120095834,0.43193492,0.13246422,0.09073266,0.120095834,0.26462737,0.2261064,0.45493963,0.13246422,0.006562016,0.0027336357,0.022615865,0.0014081086,0.0019902813,0.0044760485,0.0024897666
2,0.033076096,0.0103300465,0.0237229,0.19218202,0.04686713,0.03328383,0.3733366,0.15063995,0.0073893485,0.0018504022,0.00172644,0.012499626,1.0628386,2.7033653,0.11563438,0.13732687,0.16995373,0.021838976,0.916263,2.1421857,0.62777215,0.021353964,0.12695903,0.6944067,0.19218202,1.2608718,1.3479328,0.916263,0.5957951,0.05876876,0.08194682,0.016177118,0.0046497174,0.06468492,0.05876876,0.6953433,0.003800254,0.4008799,0.03359844,0.0071388404,0.0052780043,0.0081939,0.016177118,0.06468492,0.015062097,0.6407463,0.050273802,0.4008799,0.3752452,0.0262011,0.38899863,0.4008799,0.0071388404,0.053753287,0.96209204,1.2790638,0.7599621,0.6788674,1.1535087,1.441812,2.7519164,0.5185376,0.8247169,1.441812,0.071188614,0.058514938,0.4199328,0.5185376,0.0026543057,0.0,0.004974957,0.0007103154,0.0005917377,0.0029667295,0.0
3,2.3278837,1.3162408,0.13139324,0.17899105,0.7180983,2.3117719,1.9032694,3.7736738,0.5890498,0.12599829,0.16785172,0.106813714,1.3044455,2.6537547,0.046021614,0.102996096,0.21667153,0.019433726,0.062723346,0.19913204,0.041972905,1.4640919,2.1010022,0.021147856,0.17899105,0.7403014,1.2261125,0.062723346,0.1917559,0.03003703,0.17284855,0.026123289,0.009173635,0.11608216,0.03003703,0.39356628,0.0022054275,0.027104659,0.03998083,0.01152794,0.168268,0.0063254414,0.026123289,0.11608216,0.012002092,0.8268645,0.31998616,0.027104659,0.4538566,0.030481191,0.42886475,0.027104659,0.01152794,0.4139483,0.06377172,0.07076494,0.013974906,0.013838429,0.014834873,0.0232875,0.07479985,0.026743619,0.013102399,0.0232875,0.02593997,0.024445392,0.060687363,0.026743619,0.024909662,0.009226485,0.119837135,0.0022662224,0.0062414207,0.0022382478,0.008613568
4,0.054234464,0.012136059,0.0016543068,0.0187258,0.44312477,0.04146502,0.30543888,0.19335039,0.0067862207,0.0036805514,0.005889811,0.013888982,1.2548635,2.9160268,0.07235284,0.0372964,0.20697013,0.022510989,0.1000737,0.09947202,0.055491406,0.028787486,0.051079106,0.020022213,0.0187258,0.099054545,1.3711712,0.1000737,0.18776034,1.7212684,0.7743565,1.3382896,0.76648605,2.4398377,1.7212684,0.2310045,0.05233934,0.03417707,0.11685255,0.7010468,0.79553217,0.43914253,1.3382896,2.4398377,0.2631564,0.49486533,0.013229056,0.03417707,0.87588364,0.27545553,0.09142436,0.03417707,0.7010468,0.012771984,0.087478474,0.4221706,0.022491537,0.018857447,0.016681667,0.044777654,0.10582855,0.037059866,0.017865488,0.044777654,0.032242857,0.2552722,0.11466575,0.037059866,0.01400909,0.33614418,0.6082928,0.0027045067,0.0,0.005924026,0.0
5,0.036487192,0.0033548947,0.0061864085,0.0051576146,0.93162376,2.3193617,0.12112776,0.15140253,0.1974024,0.0,0.5527129,0.015874736,1.0306007,2.3154712,0.124825865,0.15715097,0.1888983,0.006053723,0.007293108,0.13804157,0.008562832,1.5910707,1.455931,0.005679383,0.0051576146,0.7039686,1.2725809,0.007293108,0.034586947,0.018809482,0.11028479,0.050271716,0.0,0.7810036,0.018809482,0.2993823,0.004823578,0.012206016,1.0651909,0.00551279,1.5745863,0.0620858,0.050271716,0.7810036,1.5347564,2.0251834,0.016796501,0.012206016,1.9148316,2.0063968,0.8317075,0.012206016,0.00551279,0.8623685,0.020370731,0.02939474,0.026586873,0.014326015,0.0076095234,0.0060523804,0.056896146,2.7574542,0.08508852,0.0060523804,0.007220301,0.046261404,0.0688102,2.7574542,1.3945247,0.6052874,2.1685872,0.0,0.0,0.0,0.0
6,0.028198754,0.011982065,0.10347798,0.007450221,0.3064029,0.37290773,0.16668436,0.19007707,0.050300185,0.0,0.13490668,0.444669,0.8873401,2.2907803,0.7851959,0.33582222,0.124874346,0.019880004,0.032713205,0.11581052,0.0228945,0.07315629,0.0840702,0.06637952,0.007450221,0.33516768,1.3682806,0.032713205,0.11461835,0.08394809,0.038526744,0.20120901,0.019031633,0.9093435,0.08394809,0.2700151,0.0021221046,0.02054289,0.15108816,0.26790854,0.61766213,0.054552548,0.20120901,0.9093435,0.6056066,0.791606,0.10404368,0.02054289,0.5076118,0.1753414,0.6340418,0.02054289,0.26790854,0.03485637,0.14586192,0.15216482,0.01800389,0.009882425,0.023142105,0.018041285,0.064645074,0.015856465,0.008107173,0.018041285,0.22624724,0.029030418,0.11143095,0.015856465,0.078727596,0.052527167,0.88576037,0.080325924,0.005584894,0.003593587,0.0047824974
7,0.018193908,0.0038111084,0.0010417849,0.002805318,0.004533081,0.014601199,0.009778205,0.07839006,0.002449369,0.0010402973,0.0018450649,0.006462592,6.139732,8.210602,0.003321064,0.005052427,2.0931332,0.19551764,0.01756517,0.019765938,0.006187418,0.008823693,0.011144073,0.0015275686,0.002805318,0.02479775,0.033267505,0.01756517,0.0054839225,0.0045438316,0.002116099,0.0040722443,0.0010984135,0.025648758,0.0045438316,0.015629854,0.0,0.00086139207,0.0014703985,0.00260921,0.0037582817,0.00073430984,0.0040722443,0.025648758,0.003333201,0.013779221,0.0014546828,0.00086139207,0.1936105,0.011143174,0.0049966974,0.00086139207,0.00260921,0.0030149946,0.008826527,0.019927355,0.004390284,0.0034715883,0.0018335646,0.006409616,0.015805205,0.007020223,0.004152896,0.006409616,0.0027093736,0.00433779,0.0053164833,0.007020223,0.00016188291,0.0007160696,0.0019827913,0.00026556806,0.0,0.0072099837,0.0
8,1.4703071,0.40954104,0.32050088,0.20001286,0.4512093,1.012488,0.8610809,1.907076,0.6033955,0.05171985,0.078049414,0.06203033,1.8481754,3.573923,0.045237802,0.012041744,0.36759844,0.061390474,0.08067348,0.063323,0.031461086,0.17011699,0.5568524,0.0,0.20001286,0.60512525,2.2273858,0.08067348,0.19930051,0.013646476,0.122424595,0.017589154,0.0,0.14477746,0.013646476,0.14224207,0.0,0.027475847,0.037615605,0.004755201,0.14109948,0.0,0.017589154,0.14477746,0.038885098,0.39130625,0.18306646,0.027475847,0.78029466,0.061136737,0.2794554,0.027475847,0.004755201,0.2606428,0.06182313,0.08579798,0.00973993,0.004822809,0.0075757625,0.029125355,0.06846732,0.010374136,0.008596921,0.029125355,0.01193994,0.018889865,0.06787849,0.010374136,0.002130032,0.009520284,0.09868053,0.006896518,0.0,0.0041015367,0.008941465
9,0.04782762,0.01186039,0.012839431,0.0063025616,0.839573,0.16129118,0.076101795,0.19148153,0.010867984,0.0024856469,0.009599849,0.03255526,1.1406236,2.9348998,0.33721045,0.026282186,0.25513592,0.015121382,0.04375059,0.038512006,0.041078623,0.018610233,0.01962602,0.03142498,0.0063025616,0.22491872,1.8011024,0.04375059,0.15880986,0.4109111,0.078609094,0.70756274,0.3167039,3.0194597,0.4109111,0.1752732,0.0049895146,0.015293758,0.9313301,1.1488909,0.43102285,0.28716362,0.70756274,3.0194597,1.1530353,0.5702327,0.007842791,0.015293758,2.0247164,0.13948373,0.20554441,0.015293758,1.1488909,0.008277033,0.22145498,0.13627815,0.005710442,0.0140563315,0.012383973,0.0052774576,0.055178523,0.01894305,0.011122245,0.0052774576,0.222156,0.05556118,0.16662374,0.01894305,0.11696775,0.012795265,1.2367915,0.0010050704,0.0,0.0024022954,0.0
