,MS4A1,ITGB1,COL4A4,PRDM1,IRF4,PAX5,BCL11A,BLK,IGHD,IGHM,FCN1,CD14,TCF7L2,FCGR3A,LYN,CD4,IL7R,TRBC2,CD8A,CD8B,GZMK,GZMA,CCL5,GZMB,GZMH,GZMA,MKI67,HBA1,HBB,ID2,PLCG2,GNLY,SYNE1,GNLY,NKG7,CD247,FCER1G,TYROBP,KLRG1,FCGR3A,MS4A1,IL4R,IGHD,FCRL1,IGHM,MZB1,HSP90B1,FNDC3B,PRDM1,IGKC,JCHAIN,XBP1,PRDM1,PAX5,CDK6,SYNGR1,HBM,GYPA,LEF1,CCR7,TCF7,CST3,COTL1,LYZ,DMXL2,CLEC10A,FCER1A,GZMB,IL3RA,COBLL1,TCF4,ITGA2B,PF4,TUBB1,PPBP
0,0.0040018437,0.43469214,0.02238947,0.2362038,0.021822602,0.002589556,0.0028895712,0.00955053,0.0029303827,0.011144899,0.006115176,0.005672439,0.019910369,0.0012904471,0.008086746,0.24210696,1.0,0.95939183,0.2821066,0.57547253,0.04347954,0.025190992,0.031719267,0.0021703637,0.004726174,0.025190992,0.010720929,0.009260065,0.04754594,0.30800775,0.56640303,0.008383328,0.17711061,0.008383328,0.008578635,0.30051905,0.030566351,0.008658049,0.073075615,0.0012904471,0.0040018437,0.15333547,0.0029303827,0.0052706036,0.011144899,0.0041552754,0.19946155,0.10372921,0.2362038,0.023086624,0.003571267,0.22716609,0.2362038,0.002589556,0.14119089,0.11391964,0.0033362196,0.0059420634,1.0,1.0,1.0,0.00806603,0.209678,0.0156685,0.011929861,0.013427227,0.0035793886,0.0021703637,0.0040938244,0.0035359042,0.002978389,0.008736625,0.22157528,0.010977232,0.1536989
1,0.01731697,0.3340326,0.032678947,0.33018813,0.02641859,0.014708475,0.007671132,0.013182379,0.009375349,0.034983374,0.031601433,0.016571611,0.05245129,0.042517886,0.041064844,0.12876464,0.6167204,0.28544983,0.15740976,0.11482599,0.10448914,0.058312926,0.1541164,0.046681236,0.07215153,0.058312926,0.03334368,0.16330676,0.26053095,0.21971902,0.5600519,0.11799861,0.6798138,0.11799861,0.09002563,0.20141271,0.031076018,0.038711913,0.21941933,0.042517886,0.01731697,0.19208014,0.009375349,0.015224627,0.034983374,0.012578574,0.12727971,0.22287866,0.33018813,0.12159707,0.019951034,0.13018598,0.33018813,0.014708475,0.19896631,0.07616028,0.055362698,0.017436884,0.5268404,0.42213836,0.58126473,0.023455543,0.08485162,0.0722134,0.03297723,0.024691176,0.007019672,0.046681236,0.0047055576,0.004516261,0.009523231,0.01752994,0.31888273,0.027138276,0.27845174
2,0.034142707,0.9036231,0.025544161,0.67713565,0.03154218,0.003951586,0.000967466,0.018658862,0.008934383,0.013038954,0.006443371,0.005312839,0.0709985,0.16603084,0.050306927,0.062332153,0.73744,1.0,1.0,1.0,1.0,0.7000766,1.0,0.18689167,0.65582323,0.7000766,0.010874847,0.032958247,0.08420776,0.74588674,0.59917706,0.25805014,0.5897443,0.25805014,0.6233573,0.3871683,0.0134211285,0.06042784,1.0,0.16603084,0.034142707,0.10337548,0.008934383,0.006066278,0.013038954,0.0072274487,0.26774323,0.15711242,0.67713565,0.03971505,0.0072332136,0.29288566,0.67713565,0.003951586,0.14364615,0.40892726,0.013009187,0.009497873,0.14172775,0.10312664,0.5365374,0.010310193,0.19200428,0.01955192,0.008220336,0.014685932,0.0031235747,0.18689167,0.0019033765,0.0,0.0013810392,0.008842916,0.09480817,0.017987277,0.0
3,0.01745052,0.5024353,0.014824218,0.045783117,0.037533958,0.0077805747,0.10472803,0.014404074,0.01508835,0.030206786,1.0,1.0,0.40803802,0.15446602,0.7708029,0.48001322,0.044767674,0.04037496,0.012685257,0.020384584,0.012860652,0.0113073215,0.02390213,0.008286641,0.01041916,0.0113073215,0.09292941,0.07833154,0.075958066,0.43175787,0.54365575,0.015736254,0.1860931,0.015736254,0.053457096,0.022692187,0.9201929,1.0,0.030454569,0.15446602,0.01745052,0.22108719,0.01508835,0.011968431,0.030206786,0.005759125,0.3472241,1.0,0.045783117,0.0569037,0.009289196,0.32329232,0.045783117,0.0077805747,0.054613028,0.30669826,0.026491191,0.00805065,0.051643275,0.038274985,0.07753869,0.99671423,1.0,1.0,0.97612816,1.0,0.30368698,0.008286641,0.017862475,0.015243148,0.054395873,0.02821284,1.0,0.013570493,0.9633285
4,1.0,0.28632286,0.35180926,0.05772929,0.10970104,0.60930717,0.50404876,1.0,0.8269613,0.80639327,0.015604068,0.0066884444,0.001917372,0.013957847,0.47564778,0.014810354,0.06304736,0.31945962,0.023957025,0.027777806,0.014461675,0.021741938,0.03521544,0.012033198,0.014206817,0.021741938,0.012083607,0.06902014,0.11957101,0.044808935,0.6097683,0.02633976,0.18210138,0.02633976,0.024226677,0.031103207,0.018093154,0.02431178,0.028833555,0.013957847,1.0,1.0,0.8269613,1.0,0.80639327,0.12627389,0.20544548,0.04134259,0.05772929,0.14918137,0.1269649,0.06592004,0.05772929,0.60930717,0.08829006,0.11105995,0.023691524,0.009902217,0.06419155,0.4776557,0.14650549,0.013851997,0.1561458,0.031110015,0.0072167064,0.029211123,0.0106561845,0.012033198,0.010045782,0.5553464,0.27984342,0.033669166,0.0,0.03591736,0.0
5,0.010927687,0.3772255,0.032422636,0.020617468,1.0,0.0025330423,1.0,0.14137961,0.030029634,0.25230545,0.007920234,0.0,0.016104171,0.0020623119,1.0,1.0,0.011302256,0.0075189513,0.029377207,0.021102818,0.0065968498,0.0029387532,0.0173743,1.0,0.06766325,0.0029387532,0.01381124,0.026904037,0.019705271,0.4098335,0.56483436,0.0,0.029075079,0.0,0.035539176,0.0019049061,1.0,0.69296974,0.008178757,0.0020623119,0.010927687,0.14007127,0.030029634,0.0,0.25230545,0.7364428,0.8589604,0.052491337,0.020617468,0.37635088,0.9584385,0.6305482,0.020617468,0.0025330423,0.15540186,0.4679588,0.018476283,0.0,0.014374727,0.07980194,0.08791704,1.0,0.058806483,0.019758286,0.32441017,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
6,0.048771065,0.3381842,0.014264147,0.034699477,0.1418414,0.2314434,0.39081544,0.124225155,0.12341863,0.29517385,0.004331684,0.00657115,0.32065514,0.0040722922,0.32889125,0.040419348,0.108065374,0.10502235,0.018017622,0.014557224,0.020062359,0.008760005,0.02019962,0.0043327496,0.0064469064,0.008760005,0.38686818,0.0,0.015599456,0.1872872,0.6084509,0.0072165863,0.10902963,0.0072165863,0.02901878,0.01082187,0.045979284,0.04001433,0.0955917,0.0040722922,0.048771065,0.047149364,0.12341863,0.02482972,0.29517385,0.29059637,0.33216715,0.32515055,0.034699477,0.068657465,0.07887413,0.47978476,0.034699477,0.2314434,1.0,1.0,0.0,0.008319173,0.4504303,0.047002617,0.14237247,0.15734032,0.082866065,0.030224204,0.0796258,0.0,0.24408093,0.0043327496,0.05645479,0.08678054,0.40790904,1.0,0.8948114,0.021787914,0.5348673
7,0.002639816,0.0,0.0,0.0014549976,0.0013804084,0.0,0.0,0.0016721446,0.00144477,0.0,0.0,0.00034748923,0.0,0.0,0.004865785,0.003496179,0.0024008097,0.0,0.0,0.0051137945,0.0015895542,0.0031122102,0.0023922164,0.0011236875,0.003302425,0.0031122102,0.0056225443,0.98638844,1.0,0.0,0.0,0.0029161663,0.0,0.0029161663,0.0008487756,0.0004269567,0.005545758,0.00530417,0.0021998184,0.0,0.002639816,0.0,0.00144477,0.0014330508,0.0,0.0015994146,0.0,0.0045460803,0.0014549976,0.0,0.0,0.0,0.0014549976,0.0,0.0,0.015044944,0.5680079,0.113999076,0.0053940285,0.0,0.006792735,0.0022221,0.0,0.0,0.0,0.00825644,0.0033381975,0.0011236875,0.00011608465,0.0011830241,0.0,0.0033061313,0.0,0.04371412,0.0
8,0.007928151,0.1683205,0.0,0.0464101,0.035313487,0.0018721322,0.08743236,0.0,0.009808049,0.03979166,0.62870485,0.3093842,1.0,0.17289633,0.48432568,0.3022406,0.043265164,0.05231413,0.0070802616,0.0071041984,0.0065675816,0.014141912,0.02159324,0.0023417296,0.006836359,0.014141912,0.053967245,0.1804429,0.22897185,0.35018826,1.0,0.020832172,0.19363047,0.020832172,0.01362412,0.016151879,0.106919825,0.26504132,0.0,0.17289633,0.007928151,0.1557915,0.009808049,0.0,0.03979166,0.01865876,0.16122107,0.57210743,0.0464101,0.1282805,0.024014872,0.20933492,0.0464101,0.0018721322,0.05361055,0.035857495,0.070046276,0.033295725,0.023770947,0.027699994,0.08672661,0.43422765,0.44959423,0.49487028,1.0,0.4104806,0.1412115,0.0023417296,0.0015274251,0.015728535,0.044631008,0.08585669,0.0,0.024867611,1.0
9,0.23872577,0.21223266,0.03353801,0.025833046,0.8743316,1.0,0.2719996,0.6539189,0.4367134,1.0,0.01283017,0.0064784726,0.03693007,0.0030661128,0.90119326,0.009598023,0.16635329,0.09240524,0.0017472305,0.020705562,0.010735917,0.002562487,0.016748039,0.0054537063,0.008844522,0.002562487,0.028323526,0.047566112,0.12270937,0.12075942,0.80571544,0.010350023,0.15317869,0.010350023,0.006347023,0.022135776,0.011696673,0.009341265,0.04525443,0.0030661128,0.23872577,0.099053346,0.4367134,0.41318938,1.0,0.5532764,0.23763074,0.024509782,0.025833046,0.40037757,0.061649576,0.1529616,0.025833046,1.0,0.42703688,0.0782622,0.037591398,0.005455944,0.44228518,0.09750414,0.2128909,0.06572719,0.035027146,0.030604273,0.014008935,0.019727625,0.017368598,0.0054537063,0.08387643,0.021139158,0.56992805,0.012512404,0.0,0.014565113,0.0
