names,scores,logfoldchanges,pvals,pvals_adj
CD74,66.80987,5.0250444,0.0,0.0
HLA-DRA,65.238335,6.674324,0.0,0.0
IGHM,61.09683,7.5123625,0.0,0.0
CD79A,60.856087,6.936289,0.0,0.0
HLA-DRB1,59.92989,4.750025,0.0,0.0
CD79B,59.341927,5.3768125,0.0,0.0
HLA-DPB1,57.894424,4.0103526,0.0,0.0
HLA-DQB1,57.41448,4.7673683,0.0,0.0
HLA-DPA1,55.62254,4.2511897,0.0,0.0
MS4A1,55.40625,7.396682,0.0,0.0
HLA-DQA1,55.226315,6.369999,0.0,0.0
CD37,55.078896,2.3896027,0.0,0.0
RALGPS2,51.537247,5.689199,0.0,0.0
AFF3,50.914864,5.71832,0.0,0.0
IGHD,50.391865,8.307575,0.0,0.0
MEF2C,49.408844,7.256849,0.0,0.0
TCL1A,48.81674,8.046627,0.0,0.0
HLA-DMA,48.27983,4.4814515,0.0,0.0
BANK1,47.28247,8.141955,0.0,0.0
VPREB3,47.136745,7.8141184,0.0,0.0
HLA-DRB5,46.48253,4.708831,0.0,0.0
IGKC,44.974995,4.7282724,0.0,0.0
HLA-DMB,44.496876,5.423556,0.0,0.0
LINC00926,44.429573,7.2964926,0.0,0.0
TNFRSF13C,43.65494,5.5364633,0.0,0.0
PAX5,42.315273,7.462219,0.0,0.0
NCF1,41.83179,2.686624,0.0,0.0
TCF4,41.54248,6.6332245,0.0,0.0
CD22,39.87121,7.532691,0.0,0.0
FCRL1,39.319256,7.827429,0.0,0.0
BCL11A,39.20062,6.8352933,0.0,0.0
HVCN1,38.983788,5.228623,0.0,0.0
STX7,38.368855,3.7794275,0.0,0.0
NIBAN3,37.875988,7.0879126,0.0,0.0
SNX2,37.575356,2.8227162,5.43159781798169e-309,1.610709393441229e-306
SWAP70,37.079548,5.5627,6.0021771155914764e-301,1.694132569722428e-298
EAF2,36.312252,4.6472263,1.0366896014013278e-288,2.857238504944577e-286
SPIB,36.234024,7.2606797,1.7737211271452262e-287,4.831740098329211e-285
YBX3,35.65443,3.3737082,2.0118084995229695e-278,5.2955772717218656e-276
CXXC5,35.23023,3.5226693,6.890863563291028e-272,1.7739808867826253e-269
IGLC2,34.96221,4.8261876,8.446794144891026e-268,2.1509026786126313e-265
CD24,34.22034,6.640465,1.2049268256543242e-256,2.9713495520635634e-254
MT-ND3,34.16872,0.6883493,7.050292587098863e-256,1.7204917128954694e-253
POU2F2,33.141495,2.629082,7.509294166470598e-241,1.67543080417054e-238
FCER2,33.065037,7.6110783,9.457994379077943e-240,2.0903059841382922e-237
GNG7,32.595875,4.929351,4.691981691401762e-233,9.99264137131537e-231
LYN,32.58691,4.0859895,6.285851784827182e-233,1.3266545023706881e-230
PLPP5,32.181923,4.0878663,3.16014634645591e-227,6.382133487795052e-225
BIRC3,31.916506,2.2007136,1.5760380149284352e-223,3.1026758466998697e-221
CALHM6,31.455935,3.8560088,3.4822601576894253e-217,6.578944251144369e-215
MARCH1,31.375042,6.449701,4.432432869518789e-216,8.24115911382672e-214
BCL7A,31.315172,4.510986,2.900536829887922e-215,5.350462701872783e-213
LAPTM5,30.984137,1.1299822,8.818189342390602e-211,1.601424199412284e-208
LINC02397,30.948408,8.14237,2.669049174389579e-210,4.8098319237249745e-208
MT-CO2,30.925138,0.6340995,5.486820365390278e-210,9.812193946564736e-208
CIITA,30.87584,5.941669,2.5212802423088443e-209,4.47469941186131e-207
CD72,30.661491,5.763988,1.857357541403962e-206,3.271602640787265e-204
P2RX5,30.34939,4.4957356,2.5595318510986812e-202,4.3138239335027915e-200
PLEKHA2,29.718199,2.5872376,4.468914679322093e-194,7.27036556892213e-192
IGLC1,29.63888,5.07486,4.717683460287371e-193,7.569943179736455e-191
STRBP,29.571266,3.3034112,3.499878037531696e-192,5.502794817802352e-190
BLK,29.444239,6.687603,1.4919853187656203e-190,2.299522372547512e-188
IRF8,29.273222,4.6470356,2.274203815268754e-188,3.4822073712615097e-186
LAT2,29.170958,3.9281352,4.530655401819114e-187,6.803824621693357e-185
GAPT,28.930628,6.7512207,4.919406697014947e-184,7.340569470762367e-182
CD83,28.4615,4.389823,3.511532475119773e-178,5.141541955914432e-176
RCSD1,28.344044,1.6604985,9.911344420636792e-177,1.4332905292731983e-174
PDLIM1,28.221844,4.1450706,3.1551818932117784e-175,4.534751301366401e-173
MT-CO1,27.94502,0.61540264,7.577822267693784e-172,1.0694315799112185e-169
SYK,27.8466,4.378132,1.1842884828544586e-170,1.6613369034629584e-168
CTSZ,27.512974,2.683234,1.2281079388564034e-166,1.692404981387586e-164
BASP1,27.244091,6.580603,1.9525437770192377e-163,2.6749849745163556e-161
CYB561A3,27.217182,3.130757,4.0669410796813213e-163,5.539315620563623e-161
MT-ND1,27.212242,0.6174764,4.6530094842055595e-163,6.300927929854546e-161
CD40,27.157928,5.507352,2.0410391119876734e-162,2.7323099015162986e-160
MZB1,26.982084,5.875092,2.3984633617972676e-160,3.174508541063536e-158
FCRLA,26.950666,7.6171393,5.602615052351234e-160,7.373733866934402e-158
BTK,26.603405,6.9400826,6.199326167146686e-156,8.068423006541412e-154
HERPUD1,26.007175,1.569805,4.10815204215666e-149,5.202252859005626e-147
PCDH9,25.86143,6.6266804,1.8097551414533433e-147,2.2794157902595414e-145
IL4R,25.717447,2.9038188,7.458788824494788e-146,9.344227047670555e-144
ORAI2,25.611618,2.7419653,1.1324718169360528e-144,1.4037257807069263e-142
LYL1,25.543493,3.5122728,6.485123630983851e-144,7.954292738380034e-142
FAM30A,25.297344,6.232159,3.4166170105625535e-141,4.104671113151228e-139
EBF1,25.282045,7.6276307,5.033715658325882e-141,6.016574322836757e-139
MTPN,25.016277,1.227473,4.0665272140609895e-138,4.811441062818526e-136
SMIM14,24.838913,3.1085978,3.4073877524860566e-136,3.971386710322927e-134
BTG1,24.82211,0.4378558,5.1751114510911265e-136,6.001848315084743e-134
TPD52,24.815865,2.5331943,6.044208584148437e-136,6.975254901519479e-134
PHACTR1,24.52566,5.4790845,7.8668919723734e-133,8.946489234795712e-131
ARPC3,24.350649,0.6921144,5.706386637081154e-131,6.39634065774642e-129
HHEX,24.189384,6.1421814,2.8775226225405967e-129,3.1648695999182422e-127
CTSS,24.109985,1.41055,1.964172519141779e-128,2.1402171909736955e-126
MT-ATP6,24.086811,0.49950358,3.43665773336681e-128,3.7273416999807527e-126
RPS11,23.845879,0.09463855,1.1174016576780498e-125,1.1844963182997137e-123
TSPAN13,23.731611,6.681784,1.7014925562622872e-124,1.7715940495802933e-122
PRKCB,23.642258,1.5749629,1.4178784926621473e-123,1.4632880813918999e-121
PTPN6,23.52937,1.5136893,2.0420322493185183e-122,2.0799430219471707e-120
OAZ1,23.41197,0.48423728,3.227688866788035e-121,3.2452818490233175e-119
BACH2,23.100973,2.556989,4.526848768736994e-118,4.474704055071796e-116
MT-CO3,23.098621,0.5088596,4.7800461439998805e-118,4.7051319754405547e-116
ZCCHC7,23.059711,1.9711195,1.1753407373954888e-117,1.1520798098311347e-115
IGLC3,22.999647,4.206187,4.699341065229309e-117,4.530512886219218e-115
CD19,22.59613,7.280717,4.730519982376829e-113,4.432875665085679e-111
PARP1,22.571358,1.3369819,8.286397703404081e-113,7.734081234966031e-111
POU2AF1,22.403963,6.224578,3.600772119567041e-111,3.3210743482321677e-109
PLEKHF2,22.310644,2.3195832,2.912708671750661e-110,2.6654697676993255e-108
APLP2,22.304142,2.1898956,3.36836988588357e-110,3.0704591951982255e-108
SNX29,22.236317,3.196136,1.5301143086221388e-109,1.3786918426188787e-107
SNHG7,22.232298,1.1547296,1.6734554728350341e-109,1.4963374565689443e-107
QRSL1,22.075342,3.068354,5.4549928010467316e-108,4.804290088350443e-106
ADAM28,21.998579,5.8765373,2.971402887305246e-107,2.6071556344906365e-105
MARCKS,21.77301,6.5259247,4.182427434083655e-105,3.6155619003054536e-103
SP100,21.719328,1.1816584,1.3473814144970837e-104,1.1604817793170286e-102
JUND,21.69519,0.4297327,2.277835096878843e-104,1.947549007831411e-102
CDCA7L,21.566591,3.820926,3.69978257756177e-103,3.11779879296905e-101
