group,names,scores,logfoldchanges,pvals,pvals_adj
B_cells,CD74,69.90152,4.517494,0.0,0.0
B_cells,HLA-DRA,69.32606,5.0707912,0.0,0.0
B_cells,IGHM,68.1396,6.675804,0.0,0.0
B_cells,CD37,66.6164,3.4226627,0.0,0.0
B_cells,CD79A,65.884834,6.3121915,0.0,0.0
B_cells,CD79B,65.29472,5.4707217,0.0,0.0
B_cells,HLA-DPB1,63.63507,4.0179005,0.0,0.0
B_cells,HLA-DRB1,63.127304,4.0909224,0.0,0.0
B_cells,MS4A1,62.016823,7.070749,0.0,0.0
B_cells,HLA-DQA1,59.145164,5.0072613,0.0,0.0
B_cells,HLA-DPA1,58.614155,3.801007,0.0,0.0
B_cells,HLA-DQB1,57.610615,3.602427,0.0,0.0
B_cells,AFF3,56.54304,5.08089,0.0,0.0
B_cells,IGHD,56.489132,6.952246,0.0,0.0
B_cells,RALGPS2,56.05543,5.289633,0.0,0.0
B_cells,TCL1A,54.365036,6.48452,0.0,0.0
B_cells,BANK1,52.25365,6.3934264,0.0,0.0
B_cells,VPREB3,51.661568,5.5804076,0.0,0.0
B_cells,HLA-DMA,50.220867,3.55114,0.0,0.0
B_cells,LINC00926,49.74221,6.4500766,0.0,0.0
B_cells,TNFRSF13C,49.057365,5.917658,0.0,0.0
B_cells,BTG1,48.795944,1.939713,0.0,0.0
B_cells,MEF2C,48.457066,3.9501941,0.0,0.0
B_cells,PAX5,46.962234,5.8250327,0.0,0.0
B_cells,CXCR4,46.08725,2.003926,0.0,0.0
B_cells,HLA-DMB,46.01987,3.6276915,0.0,0.0
B_cells,HLA-DRB5,45.28784,3.0804112,0.0,0.0
B_cells,RPS11,44.653812,1.5252029,0.0,0.0
B_cells,CD22,44.541615,6.262887,0.0,0.0
B_cells,IGKC,44.53666,3.8957117,0.0,0.0
B_cells,FCRL1,44.198284,7.0465846,0.0,0.0
B_cells,NCF1,43.67651,2.5599282,0.0,0.0
B_cells,CD52,42.797688,2.0296109,0.0,0.0
B_cells,HVCN1,42.463737,4.4245186,0.0,0.0
B_cells,NIBAN3,41.7605,5.2761846,0.0,0.0
B_cells,LAPTM5,40.865376,1.8012547,0.0,0.0
B_cells,TCF4,40.608303,3.7366161,0.0,0.0
B_cells,BIRC3,40.109848,2.8203895,0.0,0.0
B_cells,SNX2,40.0746,2.660655,0.0,0.0
B_cells,SWAP70,39.997272,4.640504,0.0,0.0
B_cells,SPIB,39.678074,5.1086283,0.0,0.0
B_cells,LTB,39.52977,2.1513782,0.0,0.0
B_cells,JUND,38.68118,1.3292309,0.0,0.0
B_cells,BCL11A,38.68011,3.5156798,0.0,0.0
B_cells,RPL15,38.015438,1.4656373,0.0,0.0
B_cells,STX7,37.753735,2.873951,0.0,0.0
B_cells,CD24,37.426685,4.836075,1.4386931541296356e-306,7.171120111020207e-304
B_cells,FCER2,36.696384,6.3555818,8.340230718918981e-295,4.070553855252396e-292
B_cells,RPL18A,36.68316,1.5269005,1.3554255224346763e-294,6.480317084505543e-292
B_cells,EAF2,36.549114,3.6501744,1.841949107398875e-292,8.461047399810479e-290
B_cells,CXXC5,36.484425,3.2124739,1.958477744727032e-291,8.823318870330803e-289
B_cells,IGLC2,36.13551,4.175244,6.283927160597407e-286,2.777614369647461e-283
B_cells,SNHG7,35.887928,1.977518,4.713363765430251e-282,2.0448143135691575e-279
B_cells,LIMD2,35.51449,1.5316336,2.9374261630551032e-276,1.2511833222162165e-273
B_cells,RCSD1,35.500908,2.0149484,4.759520162417068e-276,1.9910942650882973e-273
B_cells,PTMA,35.37473,1.3246138,4.1784814121214976e-274,1.7173558603819354e-271
B_cells,ARPC3,35.158592,1.4047054,8.591142324752564e-271,3.470080883482385e-268
B_cells,FAU,34.530487,1.2691703,2.798346337734268e-261,1.1111332144762831e-258
B_cells,CD72,34.34707,5.274105,1.5578354392683702e-258,6.082568472623352e-256
B_cells,LINC02397,34.28334,6.7170334,1.3900729742673388e-257,5.338563863632942e-255
B_cells,PLPP5,34.1145,4.1987777,4.496727171896309e-255,1.6991101202583038e-252
B_cells,FCMR,34.106304,2.2315178,5.948303705060492e-255,2.2119192206103514e-252
B_cells,PLEKHA2,34.010677,2.7770233,1.548916622159211e-253,5.669760891769349e-251
B_cells,BCL7A,33.760193,4.0524607,7.57582951520747e-250,2.7304455085040833e-247
B_cells,P2RX5,33.513107,4.6130733,3.105210439512067e-246,1.102208560097715e-243
B_cells,GNG7,33.42264,4.1492267,6.4297060427796275e-245,2.2481899024507213e-242
B_cells,POU2F2,33.316605,2.215457,2.219677971254928e-243,7.647117034204293e-241
